Tool,UID,Activity ID,Activity Name,Level 0 Theme,Level 1 Theme,Level 2 Theme,Level 3 Theme
Connect,-M1WgGWcOk22p63fohFK,1283,1984,Novel by George Orwell,Literary Analysis,Literature,Culture
Connect,-M3MjkFum8ZzMlUFFb0B,1237,-ed/-en Participial Phrases 1 (Starter),Various Edible Plants,Plants,The Earth & Nature,Science
Connect,-M25LIwLjwcrOCg9Teym,1224,-ing and -ed Participial Phrases 2 (Starter),Making Pasta,Food,Hobbies,Culture
Connect,-KS7qtyRRore9kMLAuU2,443,-ing Participial Phrases at the Beginning 1,Various Animals,None,Animals,Science
Connect,-M3Cs2bSfKoVNhDDLMNm,1236,-ing Participial Phrases in the Middle 2,King Kalakaua,Hawaiian History,U.S. Historical Figures,History
Connect,-M03YCpAMJn8IxSPZKPa,1222,"""An Occurrence at Owl Creek Bridge""",Short Story by Ambrose Bierce,Literary Analysis,Literature,Culture
Connect,-M1WgDhT2QMzj_vnImab,1284,"""The Fight""",Narrative Poem by John Montague,Literary Analysis,Literature,Culture
Connect,-M-H0DCwYDcD3OsfuXWY,1195,"""The First Day""",Short Story by Edward P. Jones,Literary Analysis,Literature,Culture
Connect,39da04f2-eae9-456d-a255-a36bf0f565d0,1272,"“Drowning in Dishes, but Finding a Home”",Personal Esssay by Danial Adkison,Literary Analysis,Literature,Culture
Connect,ab9f51d3-ccf4-49fc-b621-b30721f5583b,1278,“Teenagers have Stopped Getting Summer Jobs—Why?”,Article by Derek Thompson,Literary Analysis,Literature,Culture
Connect,b03713db-bced-4890-81e8-6414a0dcf46e,1275,“The Decline of the American Teenager’s Summer Job”,Article by Lexington,Literary Analysis,Literature,Culture
Connect,-LvGsoTdi-HFa4r9eNgK,1095,“The Red Fox Fur Coat”,Short Story by Teolinda Gersão,Literary Analysis,Literature,Culture
Connect,2e04ef36-ceea-4544-b7c7-751f89fc2b34,1282,“What to Do with Kids This Summer? Put ‘Em to Work”,Article by Ben Sasse,Literary Analysis,Literature,Culture
Proofreader,R4LLUDAwWtIrqSWZc1BnTw,13,A Little Stranger on the Road,A Stranger on the Road,Narratives,Stories & Myths,Culture
Connect,-L5AkM2UkdLULttcvWg-,711,"A, An, The",The Redwood Forest,Biomes,The Earth & Nature,Science
Connect,-L4gZDlvR333VxcXMYnH,717,Adverbs and Cumulative Adjectives 1,Fishing,Outdoor Recreation,Hobbies,Culture
Connect,-LPC3U1f1SPbXB3vZqMr,858,"After, Before 1 (Starter)",Gardening,Outdoor Recreation,Hobbies,Culture
Proofreader,-KKz8iHJe2PDReO2xzJp,374,Albuquerque Balloon Fiesta,Albuquerque Balloon Fiesta,None,"Countries, Cultures, & Holidays",Culture
Proofreader,rbGb9GdtzwzLSR14WKFzSg,89,Alexander and the Pirate Diomedes,Myth of Alexander & the Pirate Diomedes,Greek Mythology,Stories & Myths,Culture
Connect,bc61293f-b376-437c-bc48-e6b98d4b0d81,1279,All the Light We Cannot See,Novel by Anthony Doerr,Literary Analysis,Literature,Culture
Connect,-M1SJ7fOqixXRYXHFWz1,1221,"Although, Even though, Though, and While at the Beginning 2 (Starter)",Maine Coon Cats,Mammals,Animals,Science
