id,title,body,subtitle,created_at,updated_at,read_count,topic,draft,author_id,preview_card_content,slug,premium,tsv,published_at,external_link,center_images,order_number,image_link,press_name
415,Getting Started: Navigating the Student Dashboard,"Quill student accounts have an easy-to-navigate dashboard that allows students to access all of their assigned activities, keep track of their assignments, and gauge their concept proficiency.

Once students log in to their Quill accounts, the first page they see is the **Classes** page. This page houses all of the classes to which they belong. To enter a class, the student clicks on that class's card.

![https://downloads.intercomcdn.com/i/o/193870553/c326e1f7692a37ba1d5ea302/Screen+Shot+2020-03-19+at+5.19.13+PM.png](https://downloads.intercomcdn.com/i/o/193870553/c326e1f7692a37ba1d5ea302/Screen+Shot+2020-03-19+at+5.19.13+PM.png)

Once a student has entered a class, they are brought to the **Classwork** page. The **Classwork** view has three tabs: **All Activities**, **To-do Activities**, and **Completed Activities**.

Under **All Activities,** students can browse and access all of their assigned activities on Quill—both completed and not completed.  All activity packs are listed in the order that they are assigned by the teacher; more recently assigned activities will appear at the top.

![https://downloads.intercomcdn.com/i/o/193870959/49d18d35c111f29544d2d011/Quill+org+++Classwork.png](https://downloads.intercomcdn.com/i/o/193870959/49d18d35c111f29544d2d011/Quill+org+++Classwork.png)

Under the **To-Do Activities** section, students can start new activities, see the tool type for each assigned activity, and access the due date for each activity.

![](http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill_org_Classwork__1_.png)

Under the **Completed Activities** section, students can access their score range for each completed activity. They also have the option to [replay activities.](https://www.quill.org/teacher-center/tiny-tips-for-teachers-encourage-replay-for-improved-recall)

![](http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill_org_Classwork__2_.png)

Students can view the completion status of their activities under any of the student dashboard sections. If the activity is marked ""Start,"" the student has not yet begun the activity. If it is marked ""Resume,"" the student has started the activity, but not yet completed it. Under any of these views, if it is marked ""Replay,"" the student has successfully completed and submitted the activity and now has the opportunity to replay and improve their score. If an activity is marked ""Completed,"" the activity has been completed, but there is not the opportunity for replay.","",2020-06-02 19:59:14.613658,2020-07-06 17:51:41.950564,42,Getting started,false,11,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__10_.png' />
    <div class='preview-card-body'>
       <h3>Getting Started: Navigating the Student Dashboard</h3>
       <p>A comprehensive overview of Quill's easy-to-navigate student dashboard.</p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <p class='author'>by Quill Staff</p>
    </div>",getting-started-navigating-the-student-dashboard,false,"'/i/o/193870553/c326e1f7692a37ba1d5ea302/screen+shot+2020-03-19+at+5.19.13+pm.png](https://downloads.intercomcdn.com/i/o/193870553/c326e1f7692a37ba1d5ea302/screen+shot+2020-03-19+at+5.19.13+pm.png)':79B '/i/o/193870959/49d18d35c111f29544d2d011/quill+org+++classwork.png](https://downloads.intercomcdn.com/i/o/193870959/49d18d35c111f29544d2d011/quill+org+++classwork.png)':155B '/quill-image-uploads/uploads/files/quill_org_classwork__1_.png)':186B '/quill-image-uploads/uploads/files/quill_org_classwork__2_.png)':215B '/teacher-center/tiny-tips-for-teachers-encourage-replay-for-improved-recall)':212B 'access':21B,116B,177B,194B 'account':9B,44B 'activ':26B,101B,105B,108B,111B,121B,130B,147B,161B,167B,175B,183B,190B,201B,209B,224B,234B,245B,256B,280B,294B,299B 'allow':18B 'also':203B 'appear':149B 'assign':25B,31B,120B,140B,146B,174B 'begun':243B 'belong':64B 'brought':89B 'brows':114B 'card':76B 'class':52B,60B,68B,74B,86B 'classwork':92B,95B 'click':71B 'complet':107B,125B,128B,189B,200B,220B,260B,276B,297B,302B 'concept':35B 'dashboard':6A,16B,230B 'date':180B 'downloads.intercomcdn.com':78B,154B 'downloads.intercomcdn.com/i/o/193870553/c326e1f7692a37ba1d5ea302/screen+shot+2020-03-19+at+5.19.13+pm.png](https://downloads.intercomcdn.com/i/o/193870553/c326e1f7692a37ba1d5ea302/screen+shot+2020-03-19+at+5.19.13+pm.png)':77B 'downloads.intercomcdn.com/i/o/193870959/49d18d35c111f29544d2d011/quill+org+++classwork.png](https://downloads.intercomcdn.com/i/o/193870959/49d18d35c111f29544d2d011/quill+org+++classwork.png)':153B 'due':179B 'easi':13B 'easy-to-navig':12B 'enter':66B,84B 'first':46B 'gaug':33B 'get':1A,311C 'hous':56B 'improv':289B 'keep':27B 'list':133B 'log':39B 'mark':236B,249B,270B,296B 'navig':3A,15B 'new':166B 'opportun':285B,308B 'option':206B 'order':136B 'pack':131B 'page':47B,53B,55B,93B 'profici':36B 'quill':7B,43B,123B 'rang':197B 'recent':145B 'replay':208B,271B,287B,310B 'resum':250B 's3.amazonaws.com':185B,214B 's3.amazonaws.com/quill-image-uploads/uploads/files/quill_org_classwork__1_.png)':184B 's3.amazonaws.com/quill-image-uploads/uploads/files/quill_org_classwork__2_.png)':213B 'score':196B,291B 'section':162B,191B,231B 'see':49B,168B 'start':2A,165B,237B,254B,312C 'status':221B 'student':5A,8B,19B,38B,70B,82B,112B,163B,192B,216B,229B,239B,252B,273B 'submit':278B 'success':275B 'tab':99B 'teacher':143B 'three':98B 'to-do':102B,158B 'tool':170B 'top':152B 'track':28B 'type':171B 'view':96B,218B,266B 'www.quill.org':211B 'www.quill.org/teacher-center/tiny-tips-for-teachers-encourage-replay-for-improved-recall)':210B 'yet':242B,259B",2020-06-02 19:59:14.637,"",false,18,"",""
350,📋  PDF  | Getting Started Guide for Students,"","",2020-03-19 15:06:25.873448,2020-06-10 17:51:05.818982,1,Getting started,false,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__14_.png' />
    <div class='preview-card-body'>
       <h3>📋  PDF  | Getting Started Guide for Students</h3>
       <p></p>
       <div class='button-container'><a target='_blank' class='article-cta-primary' href=",sign-up-as-a-student-2,false,"'get':2A,7C 'guid':4A 'pdf':1A 'start':3A,8C 'student':6A",2020-03-19 15:06:25.901,http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill-Getting-Started-for-Students_updated.pdf,false,8,"",""
458,Getting Started Video: Signing up and Creating Classes on Quill,"","",2020-06-23 18:56:13.818541,2020-06-23 20:44:53.014741,0,Video tutorials,false,28,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/lower.png' />
    <div class='preview-card-body'>
       <h3>Getting Started Video: Signing up and Creating Classes on Quill</h3>
       <p>This video will guide you through signing up for Quill as a teacher or a guardian and setting up your classes.</p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <p class='author'>by Maddy M.</p>
    </div>",getting-started-video-signing-up-and-creating-classes-on-quill,false,"'class':8A 'creat':7A 'get':1A 'quill':10A 'sign':4A 'start':2A 'tutori':12C 'video':3A,11C",2020-06-23 18:56:13.838981,http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cropped-_Signing_up_and_setting_up_classes.mp4,false,0,"",""
408,Webinar 101: Getting Started with Quill,"","For teachers new to Quill (or in need of a refresher), this webinar covers how to set up classes, a demo of Quill's five different learning tools, and how to assign activities.",2020-05-14 17:39:38.047555,2020-06-27 18:14:05.910852,9,Webinars,false,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__16_.png' />
    <div class='preview-card-body'>
       <h3>Webinar 101: Getting Started with Quill</h3>
       <p>For teachers new to Quill (or in need of a refresher), this webinar covers how to set up classes, a demo of Quill's five different learning tools, and how to assign activities.</p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <span/>
    </div>",webinar-101-getting-started-with-quill,false,"'101':2A 'activ':39B 'assign':38B 'class':25B 'cover':20B 'demo':27B 'differ':32B 'five':31B 'get':3A 'learn':33B 'need':14B 'new':9B 'quill':6A,11B,29B 'refresh':17B 'set':23B 'start':4A 'teacher':8B 'tool':34B 'webinar':1A,19B,40C",2020-06-09 18:46:52.166255,https://youtu.be/R4pOnC9NMDE,false,1,"",""
114,Getting Started Guide for Premium Users (PDF),"","",2018-08-13 21:04:34.481114,2020-05-05 17:04:48.756249,0,Getting started,true,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Getting-started-with-premium.gif' />
    <div class='preview-card-body'>
       <h3>Getting Started Guide for Premium Users (PDF)</h3>
       <p></p>
       <div class='button-container'><a target='_blank' class='article-cta-primary' href=null>Download PDF ⇣</a></div>
    </div>
    <div class='preview-card-footer'>
      <span/>
    </div>",getting-started-guide-for-premium-users-pdf,false,"'get':1A,8C 'guid':3A 'pdf':7A 'premium':5A 'start':2A,9C 'user':6A",2018-08-13 21:04:34,http://s3.amazonaws.com/quill-image-uploads/uploads/files/Guide_-_Premium_Reports_3_14_19.pdf,false,15,"",""
399,📋 PDF | Quill and Beyond: Recommended Tools to Support Remote Learning,"","",2020-04-28 13:09:40.777874,2020-06-09 16:54:32.599579,0,Teacher materials,false,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__10_.png' />
    <div class='preview-card-body'>
       <h3>📋 PDF | Quill and Beyond: Recommended Tools to Support Remote Learning</h3>
       <p></p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <span/>
    </div>",quill-and-beyond-recommended-tools-to-support-remote-learning,false,'beyond':4A 'learn':10A 'materi':12C 'pdf':1A 'quill':2A 'recommend':5A 'remot':9A 'support':8A 'teacher':11C 'tool':6A,2020-06-09 16:54:32.605363,http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill___Beyond__1_.pdf,false,1,"",""
115,📋 PDF | Quill Reports Cheat Sheet,"","",2018-08-15 13:58:16.892897,2020-06-09 16:47:36.227458,11,Teacher materials,false,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__9_.png' />
    <div class='preview-card-body'>
       <h3>📋 PDF | Quill Reports Cheat Sheet</h3>
       <p></p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <span/>
    </div>",quill-reports-cheat-sheet,false,'cheat':4A 'materi':7C 'pdf':1A 'quill':2A 'report':3A 'sheet':5A 'teacher':6C,2020-06-09 16:47:36.230666,http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill_Reports_Cheat_Sheet_Updated04_08_20.pdf,false,0,"",""
21,5 Ways To Make Technology More Accessible To More Students,"",Quill discusses five ways EdTech organizations can be more inclusive.,2018-03-02 20:28:01.744976,2020-07-03 00:27:49.269019,61,In the news,false,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill-discusses-five-ways.png' />
    <div class='preview-card-body'>
       <h3>5 Ways To Make Technology More Accessible To More Students</h3>
       <p>Quill discusses five ways EdTech organizations can be more inclusive.</p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <p class='published'>March 24th, 2016</p>
    </div>",5-ways-to-make-technology-more-accessible-to-more-students,false,"'5':1A 'access':7A 'discuss':12B 'edtech':15B 'five':13B 'inclus':20B 'make':4A 'news':23C 'organ':16B 'quill':11B 'student':10A 'technolog':5A 'way':2A,14B",2016-03-24 05:00:00,https://www.teachthought.com/technology/5-ways-make-technology-accessible-students/,false,24,"",TeachThought
413,📋 PDF | Quill for the Summer 2020,"","",2020-05-28 20:32:52.018072,2020-06-09 17:00:57.549044,0,Teacher materials,false,,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__11_.png' />
    <div class='preview-card-body'>
       <h3>📋 PDF | Quill for the Summer 2020</h3>
       <p></p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <span/>
    </div>",quill-for-the-summer-2020,false,'2020':6A 'materi':8C 'pdf':1A 'quill':2A 'summer':5A 'teacher':7C,2020-06-09 17:00:57.552993,http://s3.amazonaws.com/quill-image-uploads/uploads/files/Quill_for_the_Summer.pdf,false,2,"",""
455,How does Quill decide which grammar rules to teach?,"Quill follows the guidelines for grammar and style published in the *[Chicago Manual of Style](https://www.chicagomanualofstyle.org/home.html)*. While other style guides are geared towards specific audiences and genres of writing, the *Chicago Manual of Style* is designed to support writers of all types, making it the best-suited and most [mission-aligned](https://www.quill.org/about) guide for Quill. Quill enforces rules not otherwise enforced by other style guides such as the oxford comma, using ""since"" as both a conjunction of time and a conjunction of cause and effect, and no dangling participles. If questions arise about a concept or a rule and Quill's content creators cannot find answers in the Chicago Manual, then we do in-depth research of credible sources on the concept—exploring grammarians’ explanations and perspectives, referencing published works on grammar, and more— and draw conclusions from these sources. We never use public forums or uncredited sites to inform our decisions; all of the sources that we use are research-backed.

![](http://s3.amazonaws.com/quill-image-uploads/uploads/files/864px-The_Chicago_Manual_of_Style__Seventeenth_Edition.jpg)

When Quill first began building its library, we focused on building a foundational cohort of activities aligned to Common Core Writing Standards. We are constantly adding new content to accommodate shifting standards and uncovered content areas:

1. What are the most common issues in student writing? What are the areas that students consistently struggle in, even after direct instruction? What are the basics that high school students, for example, still haven’t quite mastered?

2. What are teachers asking for? What is challenging for them to teach? What topics do teachers spend the most time on in the classroom because they are a priority?

3. What skills do students need to have in order to eventually write at a level that helps them succeed in college and, more importantly, that are essential for engaging with the world and current political, social, and economic conversations?

4. What are the gaps in our current offering (with the goal to offer a complete writing/grammar curriculum)? Which areas that are important to students and teachers are not covered by other tools?

Currently, Quill looks to address the following questions when adding new content. These questions are informed by the needs and feedback of Quill teachers, as well as the methodologies of expert grammarians.

In addition to these practices, Quill takes it very seriously when teachers reach out to us asking for new rules or suggesting that we may have gotten a rule wrong. We are committed to always delving into the content in question. While maintaining the integrity of technical grammar, Quill is very open to changing our guidelines as rules change, ideas change, and the English language changes.","",2020-06-12 17:29:01.804359,2020-07-06 21:10:27.524965,44,Writing instruction research,false,28,"<img class='preview-card-image' src='http://s3.amazonaws.com/quill-image-uploads/uploads/files/Cover__12_.png' />
    <div class='preview-card-body'>
       <h3>How does Quill decide which grammar rules to teach?</h3>
       <p>Quill follows the guidelines for grammar and style published in the Chicago Manual of Style. </p>
       <span/>
    </div>
    <div class='preview-card-footer'>
      <p class='author'></p>
    </div>",how-does-quill-decide-which-grammar-rules-to-teach,false,"'/about)':67B '/home.html)*.':27B '/quill-image-uploads/uploads/files/864px-the_chicago_manual_of_style__seventeenth_edition.jpg)':182B '1':219B '2':257B '3':287B '4':327B 'accommod':212B 'activ':198B 'ad':208B,369B 'addit':393B 'address':364B 'align':64B,199B 'alway':426B 'answer':121B 'area':218B,232B,346B 'aris':107B 'ask':261B,408B 'audienc':36B 'back':179B 'basic':245B 'began':186B 'best':58B 'best-suit':57B 'build':187B,193B 'cannot':119B 'caus':98B 'challeng':265B 'chang':445B,450B,452B,457B 'chicago':21B,42B,124B 'classroom':281B 'cohort':196B 'colleg':308B 'comma':85B 'commit':424B 'common':201B,224B 'complet':342B 'concept':110B,138B 'conclus':153B 'conjunct':91B,96B 'consist':235B 'constant':207B 'content':117B,210B,217B,371B,430B 'convers':326B 'core':202B 'cover':356B 'creator':118B 'credibl':134B 'current':321B,334B,360B 'curriculum':344B 'dangl':103B 'decid':4A 'decis':168B 'delv':427B 'depth':131B 'design':47B 'direct':240B 'draw':152B 'econom':325B 'effect':100B 'enforc':72B,76B 'engag':316B 'english':455B 'essenti':314B 'even':238B 'eventu':298B 'exampl':251B 'expert':390B 'explan':141B 'explor':139B 'feedback':380B 'find':120B 'first':185B 'focus':191B 'follow':11B,366B 'forum':161B 'foundat':195B 'gap':331B 'gear':33B 'genr':38B 'goal':338B 'gotten':418B 'grammar':6A,15B,148B,439B 'grammarian':140B,391B 'guid':31B,68B,80B 'guidelin':13B,447B 'haven':253B 'help':304B 'high':247B 'idea':451B 'import':311B,349B 'in-depth':129B 'inform':166B,375B 'instruct':241B,459C 'integr':436B 'issu':225B 'languag':456B 'level':302B 'librari':189B 'look':362B 'maintain':434B 'make':54B 'manual':22B,43B,125B 'master':256B 'may':416B 'methodolog':388B 'mission':63B 'mission-align':62B 'need':292B,378B 'never':158B 'new':209B,370B,410B 'offer':335B,340B 'open':443B 'order':296B 'otherwis':75B 'oxford':84B 'participl':104B 'perspect':143B 'polit':322B 'practic':396B 'prioriti':286B 'public':160B 'publish':18B,145B 'question':106B,367B,373B,432B 'quill':3A,10B,70B,71B,115B,184B,361B,382B,397B,440B 'quit':255B 'reach':404B 'referenc':144B 'research':132B,178B,460C 'research-back':177B 'rule':7A,73B,113B,411B,420B,449B 's3.amazonaws.com':181B 's3.amazonaws.com/quill-image-uploads/uploads/files/864px-the_chicago_manual_of_style__seventeenth_edition.jpg)':180B 'school':248B 'serious':401B 'shift':213B 'sinc':87B 'site':164B 'skill':289B 'social':323B 'sourc':135B,156B,172B 'specif':35B 'spend':274B 'standard':204B,214B 'still':252B 'struggl':236B 'student':227B,234B,249B,291B,351B 'style':17B,24B,30B,45B,79B 'succeed':306B 'suggest':413B 'suit':59B 'support':49B 'take':398B 'teach':9A,269B 'teacher':260B,273B,353B,383B,403B 'technic':438B 'time':93B,277B 'tool':359B 'topic':271B 'toward':34B 'type':53B 'uncov':216B 'uncredit':163B 'us':407B 'use':86B,159B,175B 'well':385B 'work':146B 'world':319B 'write':40B,203B,228B,299B,458C 'writer':50B 'writing/grammar':343B 'wrong':421B 'www.chicagomanualofstyle.org':26B 'www.chicagomanualofstyle.org/home.html)*.':25B 'www.quill.org':66B 'www.quill.org/about)':65B",2020-06-12 16:00:00,"",false,2,"",""
