Rule Suborder,Overall Rule Priority,Rule,Module,Rule Description,Status,Rule UID,Feedback V3 [HM 4/21],Feedback - V2,Feedback Layers,Unique feedback for each activity?,Bolding?,Bolding: Is this what the engine returns now?,Text highlighting?,Application,Spelling corrected in background?,Reported to teachers?,Combined Concept,Notes,Notes for Feedback,Level 2 Concept,Level 1 Concept,Level 0 Concept,Rule Priority - Opinion
0,6,First-Person Opinionated Phrase Keyword Check,Opinion API,Checks if a response contains a first-person opinionated phrase based on the list in the card,On Production,5ed4c961-60e6-4c29-9ace-e80c6492b377,"Revise your work. The bolded phrase expresses an opinion. Instead, focus your response on ideas your read in the text.","Revise your work. The bolded phrase expresses an opinion. Instead, focus your response on ideas your read in the text.",1,No,Bold the opinionated phrase,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding First-Person to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding First-Person to Maintain an Objective Tone,3
1,7,Response starts with a verb,Opinion API,"Checks to see if the first word is a verb (ignore gerunds and participles) and asks students to add a subject. Some exceptions apply for ""so"" responses (see card for info)",In Development,4f4ed261-16f8-44ae-905c-0ad7c6449af4,"Revise your work. Instead of starting your response with an action word, start with a person, place, or thing.","Revise your work. Instead of starting your response with an action word, start with a person, place, or thing.",1,No,Bold the verb,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,"Structure | Simple, Compound, & Complex Sentences | Joining Sentences",,,Structure,"Simple, Compound, & Complex Sentences",Joining Sentences,2
2,8,"Command check for ""so""",Opinion API,"Uses SpaCy to identify when ""so"" responses begin with the base form of a verb indicating an opinion",On Production,69c71c98-a9bc-49a6-856c-c206520f5e60,"Clear your response and try again. Giving a command works well in persuasive writing, but here the goal is to complete the sentence with a fact from the text. 

Instead of using ""so"" to give a command, use it to show a result or consequence. Try starting your response with the name of a person, group, or thing.","Rewrite your response. Your response gives a command. That often works well in persuasive writing, but in this activity the goal is to express an idea or fact from the text.

Instead of starting with an action word, try starting your response with the name of a person, group, or thing from the text instead.",1,No,Bold the verb,Yes - Yves is confirming,No,"Universal: all ""so"" prompts",No,Yes,Academic Writing | Using Academic Tone | Avoiding Imperatives to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Imperatives to Maintain an Objective Tone,1
3,9,Common Opinionated Phrases Keyword Check,Opinion API,Checks if a response contains an opinionated phrase based on the linked list,On Production,7ade48ba-f073-4ce5-9c54-501d556e99e2,"Revise your work. The bolded phrase expresses an opinion. Instead, focus your response on ideas you read in the text.","Revise your work. The bolded phrase expresses an opinion. Instead, focus your response on ideas you read in the text.",1,No,"Bold the entire phrase. If the rule identifies part of a word (e.g., s important), the whole phrase should be bolded (e.g. is important) ",Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Opinionated Phrases to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding Opinionated Phrases to Maintain an Academic Tone,4
4,10,Using Should,Opinion API,"Checks if a response contains ""should"" in the first subject/verb pair, indicating an opinion.",On Production,aa5884e6-2646-4f4b-b0ed-938a2eab0507,"For this activity, avoid giving your own opinion, feelings, or suggestions. 

Rewrite your response without the word ""should,"" and make sure your response only includes ideas from the text.","Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word should, and make sure that your response expresses an idea from the text.",1,No,Bold should,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Should to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Should to Maintain an Objective Tone,5
5,11,Using Must,Opinion API,"Checks if a response contains ""must"" in the first subject/verb pair, indicating an opinion.",On Production,5545d756-9ba5-44d5-829a-0479cbbe941e,"For this activity, avoid giving your own opinion, feelings, or suggestions. 

Rewrite your response without the word ""must,"" and make sure your response only includes ideas from the text.","Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word must, and make sure that your response expresses an idea from the text.",1,No,Bold must,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Must to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Must to Maintain an Objective Tone,6
6,12,Using Need,Opinion API,"Checks if a response contains ""need"" in the first subject/verb pair, indicating an opinion.",On Production,f7d30611-ff7b-4152-b67a-1c412d8bef02,"For this activity, avoid giving your own opinion, feelings, or suggestions. 

Rewrite your response without the word ""need,"" and make sure your response only includes ideas from the text.","Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word need, and make sure that your response expresses an idea from the text.",1,No,Bold need,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Need to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Need to Maintain an Objective Tone,7
7,13,Using Ought,Opinion API,"Checks if a response contains ""ought"" in the first subject/verb pair, indicating an opinion.",On Production,938dcafb-7b03-4fce-bacb-0ec690eccec0,"For this activity, avoid giving your own opinion, feelings, or suggestions. 

Rewrite your response without the word ""ought,"" and make sure your response only includes ideas from the text.","Remember, for this activity, avoid giving your opinion—your thoughts, feelings, or suggestions. Rewrite your response without the word ought and make sure that your response expresses an idea from the text.",1,No,Bold ought,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Ought to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Ought to Maintain an Objective Tone,8
8,14,First-Person Reference Keyword Check,Opinion API,Checks if a response contains a first-person reference based on the list in the card,On Production,a900cbe9-f50b-4760-878f-2e3e530db81d,"Words like ""I,"" ""me,"" and ""us"" are used to express your own point of view. For this activity, focus on the ideas in the text instead. 

Rewrite your response without the bolded word, and make sure your response only includes ideas from the text.",,1,No,Bold the first-person reference,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding First-Person to Maintain an Academic Tone,,,Academic Writing,Using Academic Tone,Avoiding First-Person to Maintain an Academic Tone,9
9,15,Second-Person Reference Keyword Check,Opinion API,Checks if a response contains a second-person reference based on the list in the card,On Production,16b5c334-7ac5-4cbf-b61f-a824065cb571,"""You"" and ""your"" are often used to talk directly to the reader. In this activity, the goal is to complete the sentence with facts from the text. 

Rewrite your response without ""you"" or ""your,"" and focus your response on an idea from the text.","Revise your work. You and your are often used to talk directly to the reader. To make your writing more formal, rewrite your response without using you or your.",1,No,Bold the second-person reference,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding Second-Person to Maintain an Academic Tone,,Note that this may lead student to writing an imperative with an implied subject instead.,Academic Writing,Using Academic Tone,Avoiding Second-Person to Maintain an Academic Tone,10
