evidence_activity_id,prompt_id,optimal1,optimal2,suboptimal1,suboptimal2
468,751,white students' schools received 15 times as much funding as their schools did.,they had fewer opportunities and couldn't take many advanced classes.,they didn't have access to some advanced classes.,they didn't have access to advanced classes.
467,748,it can allow them to use a greater variety of dialogue than traditional NPCs.,it can generate gestures that match the tone and mood of an NPC's dialogue.,it would make it less repetitive.,generative ai could give NPCs a greater variety of programming  NPCs.
466,745,it demonstrated the superiority of Soviet technology.,it showed that women had more opportunities in a communist society than in a capitalist society.,Soviets are bad.,it would make Soviets look good.
465,742,they thought it would help unite students from different backgrounds under a shared Ottoman identity.,this allowed them to control the curriculum and promote the values they wanted all Ottomans to share.,it would help accomplish their goals.,it would be led by diverse groups of different religious backgrounds.
464,739,they were created by training models on artists’ copyrighted material without their consent.,AI companies used their artwork to train models without paying or crediting the original artists.,"they are breaking copyright laws, by stealing work.",they are breaking copyright laws.
460,727,he discovered that the Italian version of the Treaty of Wichale gave Italy control over Ethiopia.,he realized that Italy planned to seize territory beyond their neighboring colony in Eritrea.,he had plans to expand the empire to a grand state.,he realized that Italy is aiming to conquer over Ethiopia.
459,724,"they believed that French culture would make Hanoi more ""civilized.""",they wanted to attract wealthy merchants to Hanoi to make it more profitable.,it contained valuable natural resources like coal and silver.,rats were running all over the streets.
458,721,they believed that settlements would help discourage invaders.,"they needed workers in the region to access its raw materials, like gold and iron ore.","they want to access the resources in Siberia, and population growth",the land is Siberia was rich with resources.
457,718,they believed these groups could help women fight for better working conditions.,they felt that unions would help end the harassment that women experienced when working in isolation.,they didn't like how women were treated,they were getting sick so they protested and marched
456,715,they were forced to work long hours for low pay.,they faced hazards in the workplace from dangerous machinery and unsanitary conditions.,people were bound to plots of land and unable to move or take outside jobs.,the working conditions are dangerous.
450,697,LLMs look at many examples of a language to recognize its patterns and rules.,a small dataset could result in misunderstandings.,the data is very important to performance.,the model can't learn otherwise.
