activity_id,prompt_id,original,different,paraphrase
470,759,<p>That&#x27;s true! Now add more information. What development made it possible for Korea to defeat the pirates?</p>,"<p>Try clearing your response and starting again. <br/><br/>Instead of writing about a challenge that Korean leaders faced, focus on what they did to end piracy. How did Korean leaders stop the Wokou&#x27;s attacks?</p>",Indeed! Now include additional details. What advancement enabled Korea to overcome the pirates?
470,759,<p>That&#x27;s true! Now be more specific. How did the Korean government try to convince the Wokou to stop their attacks?</p>,"<p>Try clearing your response and starting again. <br/><br/>Korean leaders asked for help from Japan, but they didn&#x27;t receive it. Write about a strategy that was successful instead.</p>",That's accurate! Now be more detailed. In what ways did the Korean authorities attempt to persuade the Wokou to cease their assaults?
470,759,<p>It&#x27;s true that Korea developed new military technology. Now add more information. How did this technology impact the fight against the Wokou?</p>,<p>That&#x27;s true! Now add more information. What agreement did the Wokou make in exchange for these benefits?</p>,It is a fact that Korea advanced new defense technology. Now provide additional details. In what way did this technology influence the battle against the Wokou?
470,759,<p>It&#x27;s true that Korea&#x27;s military became stronger. Now be more specific. What changes helped the Korean military defeat the Wokou?</p>,<p>That&#x27;s true! Now add more information. What development made it possible for Korea to defeat the pirates?</p>,"It is indeed accurate that Korea's armed forces have grown more powerful. Now, please elaborate. What modifications contributed to the Korean military's success against the Wokou?"
470,759,"<p>That idea isn&#x27;t found in the text. Clear your response and start again. <br/><br/>This time, write about what leaders did to stop the Wokou&#x27;s attacks <strong>in Korea.</strong></p>",<p>That&#x27;s true! Now be more specific. How did the Korean government try to convince the Wokou to stop their attacks?</p>,"<p>That concept isn&#x27;t present in the document. Erase your reply and begin anew. <br/><br/>This time, discuss the actions taken by leaders to halt the Wokou&#x27;s assaults <strong>in Korea.</strong></p>"
470,759,"<p>Try clearing your response and starting again. <br/><br/>Instead of writing about a challenge that Korean leaders faced, focus on what they did to end piracy. How did Korean leaders stop the Wokou&#x27;s attacks?</p>",<p>That&#x27;s true! Now be more specific. What did Korean leaders do to stop the pirates&#x27; attacks?</p>,"<p>Consider resetting your response and beginning anew. <br/><br/>Rather than discussing a difficulty encountered by Korean leaders, concentrate on their actions to eradicate piracy. What measures did Korean leaders implement to halt the Wokou's assaults?</p>"
470,759,<p>That&#x27;s a reason why Korean leaders wanted to stop piracy. Write about something they did to accomplish that goal instead.</p>,<p>That&#x27;s true! Now be more specific. How did the Korean government try to convince the Wokou to stop their attacks?</p>,That&#x27;s one of the reasons Korean authorities aimed to eliminate piracy. Discuss an action they took to achieve that objective instead.
470,759,<p>That&#x27;s true! Now be more specific. How did Korean leaders stop the Wokou&#x27;s attacks?</p>,"<p>That idea isn&#x27;t found in the text. Clear your response and start again. <br/><br/>This time, write about what leaders did to stop the Wokou&#x27;s attacks <strong>in Korea.</strong></p>",Indeed! Now please provide more details. In what ways did Korean authorities halt the assaults of the Wokou?
470,759,"<p>Try clearing your response and starting again. <br/><br/>Korean leaders asked for help from Japan, but they didn&#x27;t receive it. Write about a strategy that was successful instead.</p>",<p>It&#x27;s true that Korea developed new military technology. Now add more information. How did this technology impact the fight against the Wokou?</p>,"<p>Attempt to erase your reply and begin anew. <br/><br/>Korean authorities sought assistance from Japan, yet they did not obtain it. Discuss a tactic that proved effective instead.</p>"
470,759,<p>That&#x27;s true! Now add more information. What agreement did the Wokou make in exchange for these benefits?</p>,"<p>Try clearing your response and starting again. <br/><br/>Instead of writing about why Korean leaders wanted to get rid of the Wokou, focus on what they did to end piracy. What steps did Korean leaders take to stop the Wokou&#x27;s attacks?</p>",Indeed! Now provide additional details. What pact did the Wokou establish in return for these advantages?
