activity_id,prompt_id,conjunction,rule_id,label,sample_entry,feedback_primary,feedback_secondary,highlights_secondary
470,759,so,5096,Label_1,they fought the Wokou at sea.,<p>That&#x27;s true! Now add more information. What development made it possible for Korea to defeat the pirates?</p>,<p>Keep revising! Add another detail. What is one tool that helped Korea fight the pirates? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5097,Label_2,they did peace negotiations.,<p>That&#x27;s true! Now be more specific. How did the Korean government try to convince the Wokou to stop their attacks?</p>,<p>Keep revising! Try to be even more specific. What is one thing Korean leaders gave pirates who agreed to change their ways? Read the highlighted text for ideas.</p>,"<p>The Korean government also used peaceful negotiation to discourage piracy. They offered a fresh start to Wokou who were willing to give up their lawless lives at sea. If the pirates agreed to stop attacking merchants and communities, they were given fertile land and a stable income. Some Wokou leaders were even rewarded with government positions. To prevent them from regrouping and returning to their old ways, Korea resettled the former pirates in different locations, most of which were far from the coast.</p>"
470,759,so,5098,Label_3,they developed new technology.,<p>It&#x27;s true that Korea developed new military technology. Now add more information. How did this technology impact the fight against the Wokou?</p>,<p>Keep revising! Add more information. What did this new technology help the Korean military do? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5099,Label_4,they strengthened the military a lot.,<p>It&#x27;s true that Korea&#x27;s military became stronger. Now be more specific. What changes helped the Korean military defeat the Wokou?</p>,<p>Keep revising! Try to be even more specific. What did Korean officials create to strengthen the military? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5100,Label_5,they worked with China.,"<p>That idea isn&#x27;t found in the text. Clear your response and start again. <br/><br/>This time, write about what leaders did to stop the Wokou&#x27;s attacks <strong>in Korea.</strong></p>","<p>Clear your response and start again. <br/><br/>This time, make sure you only write about ideas in this text. What did Korean leaders do to defeat the pirates? Read the highlighted text for ideas.</p>","<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5101,Label_7,the Japanese hired the Wokou to protect their ships.,"<p>Try clearing your response and starting again. <br/><br/>Instead of writing about a challenge that Korean leaders faced, focus on what they did to end piracy. How did Korean leaders stop the Wokou&#x27;s attacks?</p>",<p>Try clearing your response and starting again. <br/><br/>Write about something Korean leaders did to try to stop the pirates. What is one thing Korean leaders did to defeat the Wokou? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5102,Label_8,,<p>That&#x27;s a reason why Korean leaders wanted to stop piracy. Write about something they did to accomplish that goal instead.</p>,<p>Clear your response and start again.<br/><br/>Write about an action that Korean leaders took to end the Wokou attacks. What did Korean leaders do to stop them? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5103,Label_9,they came up with a plan.,<p>That&#x27;s true! Now be more specific. How did Korean leaders stop the Wokou&#x27;s attacks?</p>,<p>Almost there! Try to be even more specific. What is one thing that Korea did to defeat the Wokou? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5104,Label_10,they asked Japan for help,"<p>Try clearing your response and starting again. <br/><br/>Korean leaders asked for help from Japan, but they didn&#x27;t receive it. Write about a strategy that was successful instead.</p>","<p>Clear your response and start again. <br/><br/>This time, write about something Korean leaders did on their own to stop the pirates. Read the highlighted text for ideas.</p>","<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5105,Label_11,they discouraged piracy by offering government positions to former Wokou leaders.,<p>That&#x27;s true! Now add more information. What agreement did the Wokou make in exchange for these benefits?</p>,<p>Almost there! Add more information. What is one thing the pirates had to do to get these rewards? Read the highlighted text for ideas.</p>,"<p>The Korean government also used peaceful negotiation to discourage piracy. They offered a fresh start to Wokou who were willing to give up their lawless lives at sea. If the pirates agreed to stop attacking merchants and communities, they were given fertile land and a stable income. Some Wokou leaders were even rewarded with government positions. To prevent them from regrouping and returning to their old ways, Korea resettled the former pirates in different locations, most of which were far from the coast.</p>"
470,759,so,5106,Label_13,they discouraged piracy.,<p>That&#x27;s true! Now be more specific. What did Korean leaders do to stop the pirates&#x27; attacks?</p>,<p>Keep revising! Try to be even more specific. What is one thing that Korea did to defeat the Wokou? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5107,Label_19,they lost trading partners because of the Wokou attacks.,"<p>Try clearing your response and starting again. <br/><br/>Instead of writing about why Korean leaders wanted to get rid of the Wokou, focus on what they did to end piracy. What steps did Korean leaders take to stop the Wokou&#x27;s attacks?</p>",<p>Try clearing your response and starting again. <br/><br/>Write about something Korean leaders did to try to stop the Wokou attacks. What is one thing they did to defeat the pirates? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
470,759,so,5108,Label_0,silliness was abounded.,<p>Try clearing your response and starting again. <br/><br/>How did Korean leaders stop the Wokou&#x27;s attacks? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What is one thing Korean leaders did to defeat the Wokou? Read the highlighted text for ideas.</p>,"<p>Once Mongol control over Korea ended in 1356, Korea&#x27;s leaders had the troops they needed to face the pirates. They prepared for these battles by developing new military technology. Korean officials established a laboratory and factory to make their own gunpowder. Here, scientists built cannons and advanced weapons that could launch dozens of flaming arrows at once from the decks of their ships. With these innovations, officials hoped they would be better equipped to defeat the pirates in battle.</p>"
