activity_id,prompt_id,feedback_id,feedback_primary,feedback_secondary
468,753,7730,<p>That&#x27;s true! Now be more specific. What did Black students do to challenge the segregated school system in South Africa?</p>,<p>Keep revising! Try to be even more specific. What did Black South African students do to show that they opposed segregated schools?  Read the highlighted text for ideas.</p>
468,753,7732,<p>That&#x27;s true! Now be more specific. What was the purpose of these protests?</p>,<p>Keep revising! Try to be even more specific. What is the name of the town where students protested? Read the highlighted text for ideas.</p>
468,753,7734,<p>That&#x27;s true! Now add more information. What did Black South African students do in their cultural clubs?</p>,<p>Keep revising! Add another detail. What did Black students study in the cultural clubs? Read the highlighted text for ideas.</p>
468,753,7736,<p>That&#x27;s true! Now add more information. What did Black South African students use these unofficial schools to do?</p>,<p>Keep revising! Add another detail. What did Black students study in these unofficial schools? Read the highlighted text for ideas.</p>
468,753,7738,"<p>Try clearing your response and starting again.<br/><br/>Instead of writing about something that happened in response to the Soweto Uprising, focus on an action that Black students took. How did they challenge the segregated school system in South Africa?</p>",<p>Try clearing your response and starting again. <br/><br/>What did Black South African students do to show that they opposed segregated schools? Read the highlighted text for ideas.</p>
468,753,7740,"<p>Try clearing your response and starting again.<br/><br/>Instead of writing about something that happened in South Africa later, focus on an action that Black students took. How did they challenge the segregated school system in South Africa?</p>",<p>Try clearing your response and starting again. <br/><br/>What did Black South African students do to show that they opposed segregated schools? Read the highlighted text for ideas.</p>
468,753,7742,<p>Try clearing your response and starting again. <br/><br/>That&#x27;s a reason that Black students opposed the segregated schools in South Africa. Write about an action they took instead. How did they challenge the segregated school system in South Africa?</p>,<p>Try clearing your response and starting again. <br/><br/>What did Black South African students do to show that they opposed segregated schools? Read the highlighted text for ideas.</p>
468,753,7744,<p>Try clearing your response and starting again. <br/><br/>That&#x27;s a challenge that Black students faced while trying to change their schools. Write about an action they took instead. How did they challenge the segregated school system in South Africa?</p>,<p>Try clearing your response and starting again. <br/><br/>What did Black South African students do to show that they opposed segregated schools? Read the highlighted text for ideas.</p>
468,753,7746,<p>Try clearing your response and starting again. <br/><br/>How did Black students challenge the segregated school system in South Africa? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What did Black South African students do to show that they opposed segregated schools? Read the highlighted text for ideas.</p>
468,752,7702,<p>That&#x27;s true! Now be more specific. What made it difficult and dangerous to challenge the segregated school system in South Africa?</p>,<p>Keep revising! Try to be even more specific. What danger did protestors face in South Africa? Read the highlighted text for ideas.</p>
468,752,7704,<p>That&#x27;s true! Add another piece of information. Why didn&#x27;t Black South African students have other school options?</p>,<p>Keep revising! Add another detail. What change meant that Black students were forced to attend public schools? Read the highlighted text for ideas.</p>
468,752,7706,<p>That&#x27;s true! Now be more specific. Who was unwilling to help change the school system in South Africa?</p>,<p>Keep revising! Try to be even more specific. Which group of people didn&#x27;t want to get rid of segregated schools? Read the highlighted text for ideas.</p>
468,752,7708,"<p>Try clearing your response and starting again.<br/><br/>Instead of writing about what Black students did to protest the school system in South Africa, focus on a challenge they faced. What made it hard to fight for change?</p>",<p>Try clearing your response and starting again. <br/><br/>What is one thing that made it difficult and dangerous to advocate for change? Read the highlighted text for ideas.</p>
468,752,7710,<p>It&#x27;s true that the government cut funding to religious schools. Now add more information. How did this impact Black students in South Africa?</p>,<p>Keep revising! Add another detail. What did Black students have to do after religious schools closed? Read the highlighted text for ideas.</p>
468,752,7713,<p>That&#x27;s true. Now add more information. What actions were harshly punished in South Africa?</p>,<p>Keep revising! Add another detail. What is one action that the South African government tried to stop with violence? Read the highlighted text for ideas.</p>
468,752,7715,"<p>Try clearing your response and starting again.</p><br/><p>Instead of writing about why Black students opposed segregated schools, focus on a challenge they faced. What made it hard to fight for change?</p>",<p>Try clearing your response and starting again. </p><br/><p>What is one thing that made it difficult and dangerous to advocate for change? Read the highlighted text for ideas.</p>
468,752,7717,<p>That&#x27;s true. Now add more information. Why did this make it difficult to change the segregated system?</p>,<p>Keep revising! Add another detail. Why didn&#x27;t these leaders want to change the school system? Read the highlighted text for ideas.</p>
468,752,7719,"<p>Try clearing your response and starting again.<br/><br/>Instead of writing about how Black students learned in other ways, focus on a challenge they faced. What made it hard to fight for change in their schools?</p>",<p>Try clearing your response and starting again. <br/><br/>What is one thing that made it difficult and dangerous to advocate for change? Read the highlighted text for ideas.</p>
468,752,7721,<p>It&#x27;s true that there were consequences for many people who spoke out against segregation. Be more specific. How did the government respond to protests?</p>,<p>Keep revising! Try to be even more specific. What is one way that authorities harmed people who challenged apartheid? Read the highlighted text for ideas.</p>
468,752,7723,<p>It&#x27;s true that some people believed that. Be more specific. Who thought segregation was necessary?</p>,<p>Keep revising! Try to be even more specific. Who didn&#x27;t want to change the segregated system? Read the highlighted text for ideas.</p>
468,752,7725,<p>Try clearing your response and starting again. <br/><br/>What made it hard to to change the segregated school system? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What is one thing that made it difficult and dangerous to advocate for change? Read the highlighted text for ideas.</p>
468,751,7681,<p>That&#x27;s true! Now add more information. Which educational opportunities were missing in Black students&#x27; schools?</p>,<p>Keep revising! Add another detail. What type of classes weren&#x27;t offered in Black students&#x27; schools in South Africa? Read the highlighted text for ideas.</p>
468,751,7683,<p>It&#x27;s true that Black students were treated unequally and unfairly. Now be more specific. What was unfair about the segregated schools in South Africa?</p>,<p>That&#x27;s true! Now add more information. How were educational opportunities different in Black students&#x27; schools in South Africa?</p>
468,751,7685,<p>That&#x27;s true! Now add more information. What was another problem that Black students faced in South Africa&#x27;s segregated schools?</p>,<p>Keep revising! Add another detail. What is one more way that Black students&#x27; schools weren&#x27;t equal to white students&#x27; schools in South Africa? Read the highlighted text for ideas.</p>
468,751,7687,<p>It&#x27;s true that many Black students didn&#x27;t understand Afrikaans well. Now add more information. How did this impact their experience at school?</p>,<p>Keep revising! Add another detail. What is one reason that Black students didn&#x27;t want to use Afrikaans at school? Read the highlighted text for ideas.</p>
468,751,7689,<p>That&#x27;s true! Now be more specific. How did discrimination affect Black students&#x27; <strong>schools</strong> in South Africa?</p>,<p>Keep revising! Try to be even more specific. What is one way that Black students&#x27; schools weren&#x27;t equal to white students&#x27; schools in South Africa? Read the highlighted text for ideas.</p>
468,751,7691,<p>That&#x27;s true! Now add more information. What was another problem that Black students faced in South Africa&#x27;s segregated schools?</p>,<p>Keep revising! Add another detail. What is one more way that Black students&#x27; schools weren&#x27;t equal to white students&#x27; schools in South Africa? Read the highlighted text for ideas.</p>
468,751,7693,<p>That&#x27;s true! Now add more information. What was another problem that Black students faced in South Africa&#x27;s segregated schools?</p>,<p>Keep revising! Add another detail. What is one more way that Black students&#x27; schools weren&#x27;t equal to white students&#x27; schools in South Africa? Read the highlighted text for ideas.</p>
468,751,7695,<p>That&#x27;s true. Now be more specific. What requirement felt oppressive to Black South African students and made it hard for them to succeed?</p>,<p>Keep revising! Try to be even more specific. Which language was required in Black students&#x27; schools in South Africa? Read the highlighted text for ideas.</p>
468,751,7697,<p>Try clearing your response and starting again. <br/><br/>Why did Black students want to change the segregated public school system in South Africa? Check that your response only uses information from the text.</p>,<p>Try clearing your response and starting again. <br/><br/>What problems did Black students experience in South Africa&#x27;s segregated public schools? Read the highlighted text for ideas.</p>
467,750,7798,<p>That&#x27;s true! Now add to your response. <br/><br/>What is one of the companies using generative AI to develop realistic NPCs?</p>,<p>Keep revising! Be more specific.<br/><br/>What is the name of one of the companies developing AI-powered NPCs?</p>
467,750,7800,<p>That true! Now be more specific. <br/><br/>What is one of the companies using generative AI to develop advanced NPCs?</p>,<p>Keep revising! Try to be more specific. <br/><br/>What is the name of one of the companies developing AI-powered NPCs? Read the highlighted text for ideas.</p>
467,750,7802,"<p>Try clearing your response and starting again. Instead of writing about what will need to happen in the future, focus on what some game developers have already done.<br/><br/>What have game developers done in response to fact that generative AI makes NPCs seem more realistic?</p>",<p>Try clearing your response and starting again. Talk about the game companies using generative AI. <br/><br/>What is the name of one of the companies developing AI-powered NPCs? Use the highlighted text for ideas.</p>
467,750,7804,<p>That&#x27;s true! Now add to your response. <br/><br/>Which gaming company released a smart NPC demonstration?</p>,<p>Keep revising! Add more information to your response.<br/><br/>What is the name of the gaming company that released a smart NPC demonstration in 2023?</p>
