Blank,District Name,State Name [District] Latest available year,State,NCES ID,Total Schools,Lowest Grade Offered,Highest Grade Offered,Total Students,Phone,Zip,City
,21ST CENTURY CHARTER SCH OF GARY,Indiana,IN,1800046,1,Kindergarten,12th Grade,1264,3175361027,46202,Indianapolis
,21ST CENTURY CYBER CS,Pennsylvania,PA,4200091,1,6th Grade,12th Grade,2503,4848755400,19380,West Chester
,21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,WI,5500045,1,Prekindergarten,8th Grade,513,2625980026,53404,Racine
,21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM,3500187,1,4th Grade,8th Grade,351,5052540280,87110,ALBUQUERQUE
,A E R O  SPEC EDUC COOP,Illinois,IL,1700024,7,–,–,†,7084963330,60459,Burbank
,A W BEATTIE CAREER CENTER,Pennsylvania,PA,4280010,1,9th Grade,12th Grade,7,4128471900,15101,Allison Park
,A W BROWN LEADERSHIP ACADEMY,Texas,TX,4800095,2,Prekindergarten,8th Grade,1383,9727094700,75237,DALLAS
,A+ ACADEMY,Texas,TX,4800203,2,Prekindergarten,12th Grade,1456,2143813226,75217,DALLAS
,A+ ARTS ACADEMY,Ohio,OH,3900305,1,Kindergarten,8th Grade,559,6147251305,43205,Columbus
,A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ,400998,1,7th Grade,12th Grade,163,4802327437,85138,Maricopa
,A+ CHILDREN'S ACADEMY,Ohio,OH,3901480,1,Kindergarten,5th Grade,109,6144918502,43207,Columbus
,A+ UNLIMITED POTENTIAL,TEXAS,TX,4801453,1,6th Grade,8th Grade,152,7132043837,77004,HOUSTON
,A-C CENTRAL CUSD 262,Illinois,IL,1700105,3,Prekindergarten,12th Grade,392,2174768112,62612,Ashland
,A. LINWOOD HOLTON GOV SCH,Virginia,VA,5100033,1,Ungraded,Ungraded,0,2764694026,24212,Abingdon
,A.C.E. ACADEMY,North Carolina,NC,3700372,1,Kindergarten,8th Grade,396,7044567153,28075,Harrisburg
,A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN,2700106,3,Prekindergarten,12th Grade,869,3202444712,56243,GROVE CITY
,A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA,2200056,1,Kindergarten,8th Grade,390,3182573469,71272,Ruston
,ABBEVILLE 60,South Carolina,SC,4500690,9,Prekindergarten,12th Grade,2924,8643665427,29620,Abbeville
,ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI,5500030,2,Prekindergarten,12th Grade,760,7152236715,54405,Abbotsford
,ABBOTT ISD,Texas,TX,4807380,1,Prekindergarten,12th Grade,274,2545823011,76621,ABBOTT
,ABBOTT UNION FREE SCHOOL DISTRICT,New York,NY,3602300,0,–,–,†,9144283043,10533,IRVINGTON
,ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA,2500051,1,Kindergarten,12th Grade,1425,5088548400,1606,Worcester
,ABC UNIFIED,California,CA,601620,30,Kindergarten,12th Grade,19540,5629265566,90703,Cerritos
,ABERDEEN DISTRICT,Idaho,ID,1600030,3,Prekindergarten,12th Grade,688,2083974113,83210,ABERDEEN
,ABERDEEN SCHOOL DIST,Mississippi,MS,2800360,3,Prekindergarten,12th Grade,1081,6623694684,39730,Aberdeen
,ABERDEEN SCHOOL DISTRICT,Washington,WA,5300030,12,Prekindergarten,12th Grade,3308,3605382000,98520,ABERDEEN
,ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD,4602070,10,Prekindergarten,12th Grade,4485,6057257111,57401,Aberdeen
,ABERNATHY ISD,Texas,TX,4807410,3,Prekindergarten,12th Grade,810,8062984940,79311,ABERNATHY
,ABILENE,Kansas,KS,2003180,5,Prekindergarten,12th Grade,1535,7852632630,67410,Abilene
,ABILENE ISD,Texas,TX,4807440,30,Prekindergarten,12th Grade,15680,3256771444,79604,ABILENE
,ABINGDON-AVON CUSD 276,Illinois,IL,1701413,4,Prekindergarten,12th Grade,939,3094622301,61410,Abingdon
,ABINGTON,Massachusetts,MA,2501650,5,Prekindergarten,12th Grade,2117,7819822150,2351,Abington
,ABINGTON HEIGHTS SD,Pennsylvania,PA,4202010,6,Kindergarten,12th Grade,3351,5705862511,18411,Clarks Summit
,ABINGTON SD,Pennsylvania,PA,4202040,9,Kindergarten,12th Grade,8359,2158844700,19001,Abington
,ABQ SCHOOL OF EXCELLENCE,New Mexico,NM,3500122,1,Kindergarten,12th Grade,905,5053127711,87112,ALBUQUERQUE
,ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM,3500123,1,Kindergarten,12th Grade,111,5052447553,87102,ALBUQUERQUE
,ABRAMSON SCI ACADEMY,LOUISIANA,LA,2200237,1,9th Grade,13th Grade,630,5042410037,70127,New Orleans
,ABSAROKEE ELEM,Montana,MT,3001710,2,Prekindergarten,8th Grade,105,4063284581,59001,Absarokee
