ID,Name,Flag,,,,,,,,,,,,,,,,,,,,,,,
217,Starter Growth Diagnostic (Post),Private,,,,,,,,,,,,,,,,,,,,,,,
315,Prepositional Phrases (Starter Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
309,Capitalization (Starter Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
317,"Compound Subjects, Objects, and Predicates (Starter Growth Recommendation)",Private,,,,,,,,,,,,,,,,,,,,,,,
313,Adjectives and Adverbs (Starter Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
311,Plural and Possessive Nouns (Starter Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
319,Commonly Confused Words (Starter Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
237,Intermediate Growth Diagnostic (Post),Private,,,,,,,,,,,,,,,,,,,,,,,
343,Capitalization (Intermediate Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
341,Parallel Structure (Intermediate Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
347,"Nouns, Pronouns, and Verbs (Intermediate Growth Recommendation)",Private,,,,,,,,,,,,,,,,,,,,,,,
335,Compound Sentences (Intermediate Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
337,Complex Sentences (Intermediate Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
339,Conjunctive Adverbs (Intermediate Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
325,"Compound Subjects, Objects, and Predicates (Intermediate Growth Recommendation)",Private,,,,,,,,,,,,,,,,,,,,,,,
345,Subject-Verb Agreement (Intermediate Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
410,Advanced Growth Diagnostic (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
330,Parallel Structure (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
332,Advanced Combining (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
328,Participial Phrases (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
323,Appositive Phrases (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
321,Compound-Complex Sentences (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
326,Relative Clauses (Advanced Growth Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
411,ELL Starter Growth Diagnostic (Post),Private,,,,,,,,,,,,,,,,,,,,,,,
444,ELL Intermediate Growth Diagnostic (Post),Private,,,,,,,,,,,,,,,,,,,,,,,
445,ELL Advanced Growth Diagnostic (Post),Private,,,,,,,,,,,,,,,,,,,,,,,
99,Starter Baseline Diagnostic (Pre),Private,,,,,,,,,,,,,,,,,,,,,,,
310,Plural and Possessive Nouns (Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
318,Commonly Confused Words (Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
314,Prepositional Phrases (Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
316,"Compound Subjects, Objects, and Predicates (Starter Baseline Recommendation)",Private,,,,,,,,,,,,,,,,,,,,,,,
308,Capitalization (Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
312,Adjectives and Adverbs (Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
100,Intermediate Baseline Diagnostic (Pre),Private,,,,,,,,,,,,,,,,,,,,,,,
342,Capitalization (Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
336,Complex Sentences (Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
334,Compound Sentences (Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
346,"Nouns, Pronouns, and Verbs (Intermediate Baseline Recommendation)",Private,,,,,,,,,,,,,,,,,,,,,,,
344,Subject-Verb Agreement (Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
338,Conjunctive Adverbs (Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
333,"Compound Subjects, Objects, and Predicates (Intermediate Baseline Recommendation)",Private,,,,,,,,,,,,,,,,,,,,,,,
340,Parallel Structure (Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
126,Advanced Baseline Diagnostic (Pre),Private,,,,,,,,,,,,,,,,,,,,,,,
320,Compound-Complex Sentences (Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
331,Advanced Combining (Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
327,Participial Phrases (Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
329,Parallel Structure (Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
324,Relative Clauses (Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
322,Appositive Phrases (Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
154,ELL Starter Baseline Diagnostic (Pre),Private,,,,,,,,,,,,,,,,,,,,,,,
149,Pack 1: Simple Sentences with To Be (ELL Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
150,Pack 2: Adjectives in Simple Sentences with To Be (ELL Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
151,Pack 3: Simple Sentences with Have and Want (ELL Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
152,Pack 4: Listing Adjectives and Nouns (ELL Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
153,Pack 5: Writing Simple Questions (ELL Starter Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
349,ELL Intermediate Baseline Diagnostic (Pre),Private,,,,,,,,,,,,,,,,,,,,,,,
293,Pack 1: Subject-Verb Agreement (ELL Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
294,Pack 2: Possessives (ELL Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
295,Pack 3: Prepositions (ELL Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
296,Pack 4: Future Tense (ELL Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
297,Pack 5: Articles (ELL Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
298,Pack 6: Intermediate Questions (ELL Intermediate Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
300,ELL Advanced Baseline Diagnostic (Pre),Private,,,,,,,,,,,,,,,,,,,,,,,
301,Pack 1: Regular Past Tense (ELL Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
302,Pack 2: Irregular Past Tense (ELL Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
304,Pack 3: Progressive Tenses (ELL Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
305,Pack 4: Phrasal Verbs (ELL Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
306,Pack 5: ELL-Specific Skills (ELL Advanced Baseline Recommendation),Private,,,,,,,,,,,,,,,,,,,,,,,
