Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN,1800046,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1264,58.79,21.5
21ST CENTURY CYBER CS,Pennsylvania,PA,4200091,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,2503,72.79,34.39
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,WI,5500045,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,513,28.8,17.81
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM,3500187,,1,7-Independent Charter District,3-New,4th Grade,8th Grade,351,24.2,14.5
A E R O  SPEC EDUC COOP,Illinois,IL,1700024,,7,9-Specialized public school district,1-Open,–,–,†,†,†
A W BEATTIE CAREER CENTER,Pennsylvania,PA,4280010,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,7,31,0.23
A W BROWN LEADERSHIP ACADEMY,Texas,TX,4800095,,2,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,1383,76.79,18.01
A+ ACADEMY,Texas,TX,4800203,,2,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1456,92.87,15.68
A+ ARTS ACADEMY,Ohio,OH,3900305,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,559,30,18.63
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ,0400998,,1,7-Independent Charter District,3-New,7th Grade,12th Grade,163,–,–
A+ CHILDREN'S ACADEMY,Ohio,OH,3901480,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,109,9,12.11
A+ UNLIMITED POTENTIAL,TEXAS,TX,4801453,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,152,6.91,22
A-C CENTRAL CUSD 262,Illinois,IL,1700105,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,392,–,–
A. LINWOOD HOLTON GOV SCH,Virginia,VA,5100033,,1,9-Specialized public school district,1-Open,Ungraded,Ungraded,0,†,–
A.C.E. ACADEMY,North Carolina,NC,3700372,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,396,16.66,23.77
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN,2700106,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,869,64.62,13.45
