Tool,UID,Activity ID,Activity Name,Lexile Raw,Grade Band
Connect,-LsIaNoUKQT3DQFqRpx5,1096,Activity 1: To Be with Singular Pronouns,0-100,2nd-3rd
Grammar,-LsIg6Q8sOLH3v3jFilE,1097,Activity 2: To Be with Singular Pronouns,0-100,2nd-3rd
Connect,-LsO4DwSlWo-10HhY3_F,1098,Activity 3: To Be with Singular Pronouns,0-100,2nd-3rd
Grammar,-LsT11Ql6PMVicofrSwv,1099,Activity 4: To Be with Singular Pronouns,0-100,2nd-3rd
Connect,-LsTRP0gFdy-d5lIfifn,1100,Activity 5: Using A and An in To Be Sentences,0-100,2nd-3rd
Grammar,-LuYfZ1NrGcjyvmWLzI1,1101,Activity 6: Using A and An in To Be Sentences,0-100,2nd-3rd
Connect,-LsXUzyf8l2DSp1ykK4e,1104,Activity 10: Singular vs. Plural Nouns,0-100,2nd-3rd
Grammar,-LsXcgv4qkHQT_f5AJsO,1105,Activity 11: Singular vs. Plural Nouns,0-100,2nd-3rd
Connect,-Lt5jbwYDjEvVnuAc0RW,1106,Activity 13: To Be with Negation,0-100,2nd-3rd
Grammar,-Lt5m4PQzv4_VT2IvV4u,1107,Activity 14: Singular vs. Plural Nouns,0-100,2nd-3rd
Grammar,-Lt5nddxIQuWgb3ayJWJ,1108,"Activity 15: Word Order with To Be, Negation, and Articles",0-100,2nd-3rd
Grammar,-LuYWj-C8a0uGvhLDH-m,1117,Activity 30: Singular vs. Plural Nouns with To Want,0-100,2nd-3rd
Grammar,-LuYZlNkpF0DeX_qqF0O,1118,Activity 32: To Want with Pronouns,0-100,2nd-3rd
Grammar,-LuYgjxPCkUBjjiR8BLq,1120,Activity 34: Singular vs. Plural Nouns with To Have,0-100,2nd-3rd
Grammar,-LuYzGy4q504cSLhY75g,1122,Activity 36: To Have with Pronouns,0-100,2nd-3rd
Connect,-LuZ-V1tMCsRo56xccmi,1123,Activity 37: Using A and An in To Want Sentences,0-100,2nd-3rd
Grammar,-LuZ0jXW-HvCcJdmAH36,1124,Activity 38: Singular vs. Plural Nouns with Negative To Want,0-100,2nd-3rd
Grammar,-LuZ5cqJ7iNRY_2QdOck,1126,Activity 40: To Want with Negation,0-100,2nd-3rd
Grammar,-LuZBfG1Z9LkmIpXX1Vu,1128,Activity 42: Singular vs. Plural Nouns with Negative To Have,0-100,2nd-3rd
Grammar,-LuZm5v7TFkCGFgTCSxg,1130,Activity 44: To Have with Negation,0-100,2nd-3rd
Connect,-LuZne6q09tolm1mZvvo,1131,Activity 45: To Have with Numbers,0-100,2nd-3rd
Grammar,-LuZoWmlAj-k7nGiP1cR,1132,Activity 46: To Want with Numbers,0-100,2nd-3rd
Connect,-LuZqTIbKXRGK60SJ7zS,1133,Activity 47: Word Order with Numbers and Nouns,0-100,2nd-3rd
Connect,-Lv1shFvLJfWQMfx7Pi-,1136,Activity 24: To Be with Nouns as Subjects,0-100,2nd-3rd
Connect,-Lv1u1yIS4P5xYeLGGGu,1137,Activity 7: To Be with Singular Nouns,0-100,2nd-3rd
Grammar,-Lv2p_C07SJLoaMzUEla,1138,Activity 28: Articles with Subjects,0-100,2nd-3rd
Grammar,-LyV6TBeZMZ_LI--84X7,1144,Activity 12: To Be with Singular and Plural Nouns,0-100,2nd-3rd
Grammar,-Ly_ZOZq9z0vza65NTln,1146,Activity 62: To Want in Yes/No Questions,0-100,2nd-3rd
Grammar,-Ly_fbt8C91Qxx7_-Cli,1147,Activity 64: To Have in Yes/No Questions,0-100,2nd-3rd
Connect,-Lv2n_omDvTJjuuTmXp6,1151,Activity 27: Using The Before the Subject,0-100,2nd-3rd
Grammar,-LuYVU0Atduong8PZryz,1153,Activity 21: Articles with Adjectives,0-100,2nd-3rd
Grammar,-Lv2lhvP7KwrlRcJLJi3,1154,Activity 26: Articles with Adjectives,0-100,2nd-3rd
Connect,-L6Hj4zVM72mXBWXFuiL,734,Present Progressive Tense 3 (Intermediate),100-200,2nd-3rd
Connect,-L6ICQqh9110BvOx7pJS,735,Present Progressive Tense 4 (Intermediate),100-200,2nd-3rd
Connect,-Lt5qSGblXSuxhj0rBYo,1109,Activity 16: To Be with Pronouns,100-200,2nd-3rd
Grammar,-Lu97wyu68tDnTFDlvKd,1110,Activity 17: Singular vs. Plural Modified Objects,100-200,2nd-3rd
