Overall Rule Priority,Rule,Module,Algorithm,Rule or API?,Rule Description,Status,Rule UID,Feedback - Revised,Feedback Layers,Unique feedback for each activity?,Give feedback for Turk workers?,Bolding?,Bolding: Is this what the engine returns now?,Text highlighting?,Application,Spelling corrected in background?,Reported to teachers?,Combined Concept,Notes,Notes for Feedback,Level 2 Concept,Level 1 Concept,Level 0 Concept,Feedback - Original,API Priority,Rule Priority - Opinion,Uses SpaCy?,Status Notes
1,Pre-filter API,Pre-filter,,API,API,Live Algorithm,fe42a315-fd58-407a-b4af-d2bee277a802,,1,No,Yes,,,No,Universal: all prompts/passages,No,No,,,,,,,,1,,,
1,Profanity,Pre-filter,Profanity,Rule,Response contains profanity from the list in the card,Live Algorithm,1e705723-50b1-438d-8b17-08d28ee895e5,[Update] Revise your work. Avoid using profanity in academic writing.,1,No,Yes,Bold the inappropriate word in the student's response,No,No,Universal: all prompts/passages,No,No,Activity Guidelines | Comprehension Activity Guidelines | Avoiding Profanity,"This is front end. It won't count as an attempt. ",Feedback should suggest that there's either a misspelling or inappropriate word,Activity Guidelines,Comprehension Activity Guidelines,Avoiding Profanity,Check your work. Then is used for time. Than is used to compare.,,,,
2,Multiple sentences,Pre-filter,Multiple sentences,Rule,Response contains multiple sentences (period followed by a space and another character). See card for exceptions.,Live Algorithm,60a8a095-62aa-497e-84f3-e7db018afa4f,[Update] Revise your work. Make sure your response is only one sentence.,1,No,Yes,No,Yes,No,Universal: all prompts/passages,No,No,Activity Guidelines | Comprehension Activity Guidelines | Writing a Single Sentence,Front-end only for now. Convert to back-end in the future.,Feedback should suggest that there's either a punctuation error or there are multiple sentences,Activity Guidelines,Comprehension Activity Guidelines,Writing a Single Sentence,"Revise your work. Your response should be only one sentence long. ",,,,
3,"Responses that are too short ",Pre-filter,Responses that are too short,Rule,Response is fewer than 3 words,Live Algorithm,76f519bd-ad7a-4b88-8ee6-c00a877e2ccc,Revise your work. Use the text to add more information to your response.,1,No,No,No,Yes,No,Universal: all prompts/passages,No,No,Activity Guidelines | Comprehension Activity Guidelines | Response Meets Length Requirements,"Old version: Response Too Short
Front-end only for now. Convert to back-end in the future.",,Activity Guidelines,Comprehension Activity Guidelines,Response Meets Length Requirements,"Revise your work. When writing your response, make sure to use appropriate language.",,,,
4,"Responses that are too long ",Pre-filter,Responses that are too long,Rule,Response is more than 100 words long,Live Algorithm,fec01365-3b0d-419b-86dd-25cfc7ab45c7,Revise your work. How can you make your response shorter?,1,No,No,No,Yes,No,Universal: all prompts/passages,No,No,Activity Guidelines | Comprehension Activity Guidelines | Response Meets Length Requirements,"Old version: Response Too Long
Front-end only for now. Convert to back-end in the future.",,Activity Guidelines,Comprehension Activity Guidelines,Response Meets Length Requirements,"Your sentence contains the word ""please"" and appears to make a request based on your personal opinion. However, for this activity, the goal is to complete the sentence with an idea from the text. When you revise, avoid using the word ""please"" in your sentence. ",,,,
5,Sentence Structure Regex (Regex 0),Regex Module,,Rule,"Passage-specific rules that identify incorrect sequences in the responses. These rules may apply across all three conjunctions in a prompt, or they may apply to a single conjunction for a passage.",Spec needed,b5b5c66c-3a38-443a-bf68-663cd40eacc6,Individual feedback based on regex rule,1,Yes,Yes,No,,No,Custom for Prompt,No,Yes,Individual concepts for each regex rule,,,,,,Check your punctuation. Use an apostrophe to show ownership. Leave out the apostrophe if the word is just plural.,2,,,
6,Opinion API,Opinion API,-,API,API,On Production,431c738a-b28c-4111-9ad6-b746965bcc72,,1,No,Yes,,,No,Universal: all prompts/passages,No,Yes,,,,,,,,1,0,,
6,First-Person Opinionated Phrase Keyword Check,Opinion API,Opinion/Tone Keyword Check,Rule,Checks if a response contains a first-person opinionated phrase based on the list in the card,On Production,5ed4c961-60e6-4c29-9ace-e80c6492b377,"Revise your work. The bolded phrase expresses an opinion. Instead, focus your response on ideas your read in the text.",1,No,Yes,Bold the opinionated phrase,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,Academic Writing | Using Academic Tone | Avoiding First-Person to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding First-Person to Maintain an Objective Tone,"Consider how you can revise your work. Remember, your response should be based on what you learned in the passage. When talking about ideas from the passage, avoid using opinionated phrases like the one bolded in your response.",,3,No,
7,Response starts with a verb,Opinion API,,Rule,"Checks to see if the first word is a verb (ignore gerunds and participles) and asks students to add a subject. Some exceptions apply for ""so"" responses (see card for info)",In Development,4f4ed261-16f8-44ae-905c-0ad7c6449af4,"Revise your work. Instead of starting your response with an action word, start with a person, place, or thing.",1,No,Yes,Bold the verb,Yes - Yves is confirming,No,Universal: all prompts/passages,No,Yes,"Structure | Simple, Compound, & Complex Sentences | Joining Sentences",,,Structure,"Simple, Compound, & Complex Sentences",Joining Sentences,,,2,Yes,
8,"Command check for ""so""",Opinion API,Opinion/Tone Keyword Check,Rule,"Uses SpaCy to identify when ""so"" responses begin with the base form of a verb indicating an opinion",On Production,69c71c98-a9bc-49a6-856c-c206520f5e60,"Rewrite your response. Your response gives a command. That often works well in persuasive writing, but in this activity the goal is to express an idea or fact from the text.

Instead of starting with an action word, try starting your response with the name of a person, group, or thing from the text instead.",1,No,Yes,Bold the verb,Yes - Yves is confirming,No,"Universal: all ""so"" prompts",No,Yes,Academic Writing | Using Academic Tone | Avoiding Imperatives to Maintain an Objective Tone,,,Academic Writing,Using Academic Tone,Avoiding Imperatives to Maintain an Objective Tone,N/A,,1,Yes,
