Question,Question ID,Skill Group Name,Skill Group ID,Skill Name
She _____ want to go swimming. don't / doesn't,-LinooJU7h_BiASTmMFU,Subject-Verb Agreement,135,Starter Post Q1 - Basic Subject-verb Agreement
The students in the class ___ the book. read / reads,-Linp1yljwuUFNcXjiaQ,Subject-Verb Agreement,135,Starter Post Q2 - Basic Subject-verb Agreement
The buildings in Toronto ___ beautiful. are / is,-LinpE9ODZ5__Km8E4px,Subject-Verb Agreement,135,Starter Post Q3 - Basic Subject-verb Agreement
the president gave a speech at the american museum of natural history to award the national medal of science.,-Linr1O9p3dRAfUvFnyS,Capitalization,134,Intermediate Post Q12 - Capitalization
The city best restaurant opened twenty year ago.,-LinrO2cZGFlWXysOoVs,Plural and Possessive Nouns,124,Starter Post Q8 - Plural vs. Possessive Nouns
The basketball player goal is to score point at all of her game this year.,-LinrV9paU5zGnUuAN9t,Plural and Possessive Nouns,124,Starter Post Q9 - Plural vs. Possessive Nouns
The sailor breathes in the air. The air is salty.,-Lins3ua1sQQN6Tl7Q4h,Adjectives and Adverbs,125,Starter Post Q12 - Single Adjectives
The wind blows and breaks two windows. It blows through the house.,-LinsaouHGCBKj2eprfC,Prepositional Phrases,126,Starter Post Q15 - Prepositional Phrases
Lindsey eats an apple and throws it away. She eats quickly.,-LinsDnhwR8T0jLx3Ypp,Adjectives and Adverbs,125,Starter Post Q13 - Single Adverbs of Manner
The ice melts in spring. The ice is white. The ice melts slowly.,-LinspkyKBeYdTTIn8Zc,Adjectives and Adverbs,125,Starter Post Q14 - Adjectives and Adverbs
He is planting trees. He is planting them at a park. The park is large. The park is in California.,-Lint05rURFiNEg8K63T,Prepositional Phrases,126,Starter Post Q16 - Prepositional Phrases
Runners stretch ___ legs while ___ waiting for the race to start.,-LKc-s1Gzbf6QiyHHRr-,Commonly Confused Words,128,Starter Pre Q5 - Commonly Confused Words (Their/There/They're)
Runners stretch ___ legs while ___ waiting for the race to start.,-LKc-s1Gzbf6QiyHHRr-,Commonly Confused Words,159,SpringBoard Q24 - Commonly Confused Words (Their/There/They're)
The athlete goal is to win medal at all of her competition this season.,-LKStUOiTFAuve_pUNNl,Plural and Possessive Nouns,124,Starter Pre Q9 - Plural vs. Possessive Nouns
The family big house was built a hundred year ago.,-LKSuWT89unu5gJ2WRip,Plural and Possessive Nouns,124,Starter Pre Q8 - Plural vs. Possessive Nouns
He ___ like to wake up early.,-LKT0cJcWANIOLWdxGDA,Subject-Verb Agreement,135,Starter Pre Q1 - Basic Subject-Verb Agreement
The streets of Tokyo ___ bright.,-LKWlY_fa3JXEFzQO3I8,Subject-Verb Agreement,135,Starter Pre Q3 - Basic Subject-Verb Agreement
Stars look ___ in the country than in the city.,-LKWu6ki2OHKFMAVZIko,Adjectives and Adverbs,125,Starter Pre Q7 - Comparative vs. Superlative Adjectives
The stream floods during rainstorms. The stream is muddy. The stream floods easily.,-LKWyxEPkvcrETG1dVN3,Adjectives and Adverbs,125,Starter Pre Q14 - Adjectives and Adverbs
He is going on vacation. He is going to a beach. The beach is beautiful. The beach is in San Diego.,-LKX1YDGP_nJ70U6_y-A,Prepositional Phrases,126,Starter Pre Q16 - Prepositional Phrases
He is going on vacation.He is going to a beach.The beach is beautiful.The beach is in San Diego.,-LKX1YDGP_nJ70U6_y-A,Prepositional Phrases,156,SpringBoard Q11 - Prepositional Phrases
Scorpions thrive in the desert. The desert is dry.,-LKX3Kput_ae17nDodqp,Adjectives and Adverbs,125,Starter Pre Q12 - Single Adjectives
I’ll watch a movie at ___ house while ___ studying.,-LKXt53wwLoZW3EkmH_K,Commonly Confused Words,128,Starter Pre Q4 - Commonly Confused Words (Your/You're)
I’ll watch a movie at ___ house while ___ studying.,-LKXt53wwLoZW3EkmH_K,Commonly Confused Words,159,SpringBoard Q23 - Commonly Confused Words (Your/You're)
___ were soaked from the rain. Me and John / John and I,-LKXtrZuQbt-WpPJX6wP,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q1 - Pronouns in Subjects
___ were soaked from the rain.,-LKXtrZuQbt-WpPJX6wP,Pronoun Case and Agreement,158,SpringBoard Q20 - Pronouns in Subjects
Nelson Mandela won the Nobel Peace Prize. He brought South Africa together. unless / even though / because,-LKXzTjgc5wLmk4pNKGb,Complex Sentences,131,Intermediate Pre Q20 - Complex Sentences (Because)
Nelson Mandela won the Nobel Peace Prize. He brought South Africa together.,-LKXzTjgc5wLmk4pNKGb,Complex Sentences,160,AP Q9 - Complex Sentences (Because) 
Nelson Mandela won the Nobel Peace Prize. He brought South Africa together.,-LKXzTjgc5wLmk4pNKGb,Complex Sentences,147,PreAP1 Q8 - Complex Sentences (Because)
I ___ the movie yesterday. saw / seen / have seen / had seen,-LKY9qcjbY_mXflblkVh,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q9 - Irregular Past Tense
I ___ the movie yesterday.,-LKY9qcjbY_mXflblkVh,Verb Tense and Agreement,157,SpringBoard Q15 - Irregular Past Tense
I ___ to California three times so far. went / been / had been / have been,-LKYE-fuDYeJEB4G_d5U,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q10 - Perfect Tense
I ___ to California three times so far.,-LKYE-fuDYeJEB4G_d5U,Verb Tense and Agreement,157,SpringBoard Q16 - Perfect Tense
"When I got home, I was excited to see that my new bike ___. was delivered / has been delivered / had been delivered",-LKYEJ7ZnM2dds1WqCSv,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q11 - Perfect Tense
"When I got home, I was excited to see that my new bike ___.",-LKYEJ7ZnM2dds1WqCSv,Verb Tense and Agreement,157,SpringBoard Q17 - Perfect Tense
Each of the soccer players ___ a green jersey. wears / wear,-LKYFOWVjMGfL292TOU-,Subject-Verb Agreement,135,Intermediate Pre Q4 - Subject-Verb Agreement
Each of the soccer players ___ a green jersey.,-LKYFOWVjMGfL292TOU-,Verb Tense and Agreement,157,SpringBoard Q14 - Subject-Verb Agreement With Indefinite Pronouns
Both ___ uniforms are purple and white. teams / teams' / team's,-LL-sMOL2wx5nAEMcyaN,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q6 - Plural Possessive
I always borrow my two best ___ clothes. friends / friends' / friend's,-LL-wQK_WhlER6icDH2V,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q8 - Plural Possessive
Traveling is ___ with a guide than without one.,-LL-z3Is5RTRvWyNZR6W,Adjectives and Adverbs,125,Starter Pre Q6 - Comparative vs. Superlative Adjectives
Rico writes a letter and mails it. He writes quickly.,-LL03FB3y06qdXC7cEI_,Adjectives and Adverbs,125,Starter Pre Q13 - Single Adverbs of Manner
A tree fell and blocked traffic. It fell onto the road.,-LL5ho_8jppZoOmjaubo,Prepositional Phrases,126,Starter Pre Q15 - Prepositional Phrases
A tree fell and blocked traffic.It fell onto the road.,-LL5ho_8jppZoOmjaubo,Prepositional Phrases,156,SpringBoard Q10 - Prepositional Phrases
The bad weather forced ___ to go inside. him and his dog / he and his dog,-LLAprmEAE3SUkJqdhm0,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q3 - Pronouns in Objects
The bad weather forced ___ to go inside.,-LLAprmEAE3SUkJqdhm0,Pronoun Case and Agreement,158,SpringBoard Q21 - Pronouns in Objects
The artist drew a picture of ___. Erica and me / Erica and I,-LLAqIXQyovkXmW5Cdze,"Nouns, Pronouns, and Verbs",136,Intermediate Pre Q2 - Pronouns in Objects
The artist drew a picture of ___.,-LLAqIXQyovkXmW5Cdze,Pronoun Case and Agreement,158,SpringBoard Q22 - Pronouns in Objects
Giraffes have long necks. They can reach leaves on tall trees.,-Lm6CCemZAGMrQBHIiXI,Complex Sentences,160,AP Q8 - Complex Sentences (Since)
Giraffes have long necks. They can reach leaves on tall trees.,-Lm6CCemZAGMrQBHIiXI,Complex Sentences,155,SpringBoard Q5 - Complex Sentences (Since)
Katherine Johnson helped launch the first American astronaut into orbit. She was one of the most trusted NASA mathematicians.,-Lmv3np1E3lCvmHWF06R,Appositive Phrases,138,Advanced Pre Q1 - Appositive Phrases
Katherine Johnson helped launch the first American astronaut into orbit. She was one of the most trusted NASA mathematicians.,-Lmv3np1E3lCvmHWF06R,Appositive Phrases,162,AP Q3 - Appositive Phrases
Katherine Johnson helped launch the first American astronaut into orbit. She was one of the most trusted NASA mathematicians.,-Lmv3np1E3lCvmHWF06R,Appositive Phrases,149,PreAP2 Q2 - Appositive Phrases
Olympus Mons is the tallest mountain in our solar system. Olympus Mons is on Mars.,-LpAJDh8NspJ1O1ZAd7W,Relative Clauses,161,AP Q12 - Relative Clauses (Which)
Olympus Mons is the tallest mountain in our solar system. Olympus Mons is on Mars.,-LpAJDh8NspJ1O1ZAd7W,Relative Clauses,150,PreAP2 Q8 - Relative Clauses (Which)
the president visited jackson high school to honor the national teacher of the year.,-LQabYK1kSh4Dp5ZMtjB,Capitalization,134,Intermediate Pre Q12 - Capitalization
I joined the soccer team. Joe tried out for the school play. and,-LQp53E7oNy-VXsYHQIL,Compound Sentences,130,Intermediate Pre Q17 - Compound Sentences (And)
I joined the soccer team. Joe tried out for the school play.,-LQp53E7oNy-VXsYHQIL,Compound Sentences,154,SpringBoard Q1 - Compound Sentences (And)
Tornadoes can pick up trees while they spin. Tornadoes can rip off roofs while they spin.,-LQtB2iMvevV1Bw7GoUH,"Compound Subjects, Objects, and Predicates",129,Intermediate Pre Q15 - Compound Predicates
Tornadoes can pick up trees while they spin. Tornadoes can rip off roofs while they spin.,-LQtB2iMvevV1Bw7GoUH,"Compound Subjects, Objects, and Predicates",145,PreAP1 Q10 - Compound Predicates
Tornadoes can pick up trees while they spin.Tornadoes can rip off roofs while they spin.,-LQtB2iMvevV1Bw7GoUH,"Compound Subjects, Objects, and Predicates",153,SpringBoard Q6 - Compound Predicates
The cat is sleeping. The dog is sleeping.,-LQtdcqlCN1k2GA_pGNF,"Compound Subjects, Objects, and Predicates",127,Starter Pre Q20 - Compound Subjects
Ostriches are the largest birds. Ostriches can grow over nine feet tall.,-LsrQRLNvYAJa6f0dqnC,Appositive Phrases,162,AP Q1 - Appositive Phrases
The pressurized deep sea diving suit was invented in 1932. It led to the exploration of unknown parts of the ocean. who / that / which,-LVxfeBrdg3DAbGFl78t,Relative Clauses,139,Advanced Pre Q6 - Relative Clauses (Which)
The pressurized deep sea diving suit was invented in 1932. It led to the exploration of unknown parts of the ocean.,-LVxfeBrdg3DAbGFl78t,Relative Clauses,161,AP Q11 - Relative Clauses (Which)
The pressurized deep sea diving suit was invented in 1932.It led to the exploration of unknown parts of the ocean.,-LVxfeBrdg3DAbGFl78t,Relative Clauses,150,PreAP2 Q7 - Relative Clauses (Which)
CNSA made history in 2019 by landing a rover on the far side of the moon. CNSA is China’s space agency.,-LVxg5EKmlyXaRLytaow,Appositive Phrases,138,Advanced Pre Q2 - Appositive Phrases
CNSA made history in 2019 by landing a rover on the far side of the moon. CNSA is China's space agency.,-LVxg5EKmlyXaRLytaow,Appositive Phrases,162,AP Q5 - Appositive Phrases
CNSA made history in 2019 by landing a rover on the far side of the moon. CNSA is China's space agency.,-LVxg5EKmlyXaRLytaow,Appositive Phrases,149,PreAP2 Q1 - Appositive Phrases
Melipona bees produce a small amount of honey each year. Melipona bees are a type of stingless bee. They are native to the Americas.,-LVxi-9EJWhV1SjQOGvO,Advanced Combining,142,Advanced Pre Q12 - Appositive Phrases and Participial Phrases
Melipona bees produce a small amount of honey each year. Melipona bees are a type of stingless bee. They are native to the Americas.,-LVxi-9EJWhV1SjQOGvO,Advanced Combining,166,AP Q6 - Appositive and Participial Phrases
The wind lifted entire houses off the ground. The wind was blowing with incredible speed and force.,-LVxiL40aVUj3IMVlP7i,Participial Phrases,140,Advanced Pre Q4 - Participial Phrases
The wind lifted entire houses off the ground. The wind was blowing with incredible speed and force.,-LVxiL40aVUj3IMVlP7i,Participial Phrases,163,AP Q4 - Paricipial Phrases
The wind lifted entire houses off the ground. The wind was blowing with incredible speed and force.,-LVxiL40aVUj3IMVlP7i,Participial Phrases,151,PreAP2 Q5 - Participial Phrases
The telephone was an exciting invention. It revolutionized communication. The telephone instantly connected people across the country for the first time. People were concerned there would be negative consequences.,-LVxjooFc8hOp5D5bxWv,Advanced Combining,142,Advanced Pre Q14 - Open Sentence Combining
The light bulb was an invention. It brought electricity into homes. who / that / which,-LWHMaiB-Q1hNQvV7zZ9,Relative Clauses,139,Advanced Pre Q5 - Relative Clauses (That)
The light bulb was an invention. It brought electricity into homes.,-LWHMaiB-Q1hNQvV7zZ9,Relative Clauses,161,AP Q10 - Relative Clauses (That)
The light bulb was an invention.It brought electricity into homes.,-LWHMaiB-Q1hNQvV7zZ9,Relative Clauses,150,PreAP2 Q6 - Relative Clauses (That)
I ___ a student. is / am / are / be,-LyFEjsE78Rzw1vlayfe,Sentences With To Be,167,ELL Starter Pre Q1 - Conjugating To Be
They ___ students. is / am / are / be,-LyFEuupny5nwXv3ziLJ,Sentences With To Be,167,ELL Starter Pre Q2 - Conjugating To Be
The girl ___ a student. is / am / are / be,-LyFF8JxR3s9Zb9nOWnC,Sentences With To Be,167,ELL Starter Pre Q3 - Conjugating To Be
We are ___. student / students,-LyFFegKbXb80z-3oq6J,Sentences With To Be,167,ELL Starter Pre Q5 - Regular Plural Nouns
It is ___ apple. a / an,-LyFFQi0LmCUGiGEB5xg,Sentences With To Be,167,ELL Starter Pre Q4 - A vs An
You ___ student. are not a / are a not / not are a,-LyFGJixJXIFbHl2yOEG,Sentences With To Be,167,ELL Starter Pre Q6 - Word Order With Not
He is ___. a teacher / teacher,-LyFGk8GydH3lttrSya0,Sentences With To Be,167,ELL Starter Pre Q7 - Using A & An Before A Noun
She is a ___. happy student / student happy,-LyFGqSW7Wk1y41n8SlT,Sentences With To Be,167,ELL Starter Pre Q8 - Word Order With Adjectives
