NCESSCH,free_lunches
10000200277,0
10000201402,0
10000201667,0
10000201670,0
10000201705,0
10000201706,0
10000201876,0
10000500870,71
10000500871,58
10000500879,72
10000500889,76
10000501616,82
10000502150,73
10000600193,55
10000600872,82
10000600876,58
10000600877,83
10000600878,68
10000600880,71
10000600883,48
10000600887,75
10000600986,0
10000600987,0
10000601413,76
10000601434,71
10000601585,59
10000601685,56
10000601812,76
10000602209,85
10000700091,45
10000700248,6
10000700251,25
10000700337,25
10000700342,24
10000701422,27
10000701456,22
10000701483,13
10000701738,23
10000701739,46
10000701740,35
10000701741,30
10000701742,46
10000701743,35
10000701825,0
10000702091,22
10000702186,25
10000800303,30
10000800495,24
10000800831,19
10000800839,33
10000800851,22
10000801423,23
10000801485,20
10000801798,20
10000802097,22
10000802133,22
10000802198,20
10000901403,0
10000901404,0
10000901405,0
10000901406,0
10001102094,42
10001102095,57
10001102096,51
10001200123,60
10001200874,50
10001200884,71
10001201630,73
10001201781,63
10001300714,10
10001301498,10
10001301502,10
10001301682,11
10001502118,0
10001502121,0
10001502126,0
10001502131,0
10001601828,0
10001802104,0
10001901830,0
10002001831,0
10002801839,0
10003000001,62
10003000003,58
10003000004,66
10003000005,66
10003000006,62
10003302119,0
10003302123,0
10003302125,0
10003302130,0
10003501846,0
10003801849,0
10004001851,0
10004101852,0
10004401855,0
10004501856,0
10006000007,51
10006000008,60
10006001467,63
10009000011,86
10009000015,88
10009000017,68
10009000020,95
10009000021,93
10009001246,0
10009001249,0
10009001725,91
10009001782,88
10010000022,47
10010000025,46
10010000027,39
10010000028,32
10012000522,59
10012001471,69
10012001472,43
10012001473,54
10012001474,70
10012001475,50
10012001758,42
10017302106,0
10017402124,0
10017502112,0
10017602108,0
10017602109,0
10017602110,0
10017602111,0
10017802113,0
10017902107,0
10018000033,67
10018000034,73
10018000035,84
10018102116,0
10018302114,0
10018402115,0
10018500893,52
10018500952,56
10018502137,41
10018802193,92
10018802194,91
10018902195,45
10018902196,48
10019001182,39
10019001183,30
10019001184,36
10019001460,48
10019001815,39
10019002149,42
10019002216,0
10021000036,26
10021000037,26
10021000039,39
10021000040,39
10021000041,30
10021000042,25
10021000053,31
10021001254,25
10021001259,28
10021001263,0
10021001879,29
10024000045,70
10024000046,43
10024000047,50
10024000048,37
10024000049,42
10024000050,48
