english,spanish
<h3><strong>A / An</strong></h3><p>Put <strong>a</strong> or <strong>an</strong> before a person or thing.</p><br/><p><u>You See</u></p><p>Is she <strong>teacher / a teacher</strong>?</p><br/><p><u>You Write</u></p><p>Is she <strong>a teacher</strong>?</p>,<h3><strong>A / An</strong></h3><p>Coloca <strong>a</strong> o <strong>an</strong> antes de una persona o cosa.</p><br/><p><u>Ves</u></p><p>¿Es ella <strong>teacher / a teacher</strong>?</p><br/><p><u>Escribes</u></p><p>¿Es ella <strong>a teacher</strong>?</p>
"<h3><strong>For, With, To</strong></h3><p>Use these words in different situations:</p><br/><p>Things are <em>for</em> people.</p><p>People are <em>with</em> people.</p><p>People go <em>to</em> places.</p><br/><p><u>Examples</u></p><p>It is <em>for</em> my mother.</p><p>I am <em>with</em> my friend.</p><p>I go <em>to</em> the park.</p><br/><p><strong><u>You See</u></strong></p><p>She drives ___ work.</p><br/><p><strong><u>You Write</u></strong></p><p>She drives <strong>to</strong> work.</p>","<h3><strong>For, With, To</strong></h3><p>Usa estas palabras en diferentes situaciones:</p><br/><p>Las cosas son <em>for</em> las personas.</p><p>Las personas están <em>with</em> otras personas.</p><p>Las personas van <em>to</em> lugares.</p><br/><p><u>Ejemplos</u></p><p>Es <em>for</em> mi madre.</p><p>Estoy <em>with</em> mi amigo.</p><p>Voy <em>to</em> el parque.</p><br/><p><strong><u>You See</u></strong></p><p>Ella conduce ___ trabajo.</p><br/><p><strong><u>You Write</u></strong></p><p>Ella conduce <strong>to</strong> trabajo.</p>"
"<h3><strong>A / An</strong></h3><p>Use <em>an</em> when the next word starts with <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em>, or <em>u</em>.</p><p>Use <em>a</em> when the next word starts with any other letter.</p><br/><p><u>You See</u></p><p>I am ___ adult.</p><br/><p><u>You Write</u></p><p>I am <strong>an</strong> adult.</p><br/><br/><p><u>You See</u></p><p>I am ___ student.</p><br/><p><u>You Write</u></p><p>I am <strong>a</strong> student.</p>","<h3><strong>A / An</strong></h3><p>Usa <em>an</em> cuando la siguiente palabra comienza con <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em> o <em>u</em>.</p><p>Usa <em>a</em> cuando la siguiente palabra comienza con cualquier otra letra.</p><br/><p><u>Ves</u></p><p>Soy ___ adulto.</p><br/><p><u>Escribes</u></p><p>Soy <strong>an</strong> adulto.</p><br/><br/><p><u>Ves</u></p><p>Soy ___ estudiante.</p><br/><p><u>Escribes</u></p><p>Soy <strong>a</strong> estudiante.</p>"
"<h3><strong>A / An</strong></h3><p>Use <em>an</em> when the next word starts with <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em>, or <em>u</em>.<br/>Use <em>a</em> when the next word starts with any other letter.</p><br/><p><u>You See</u><br/>I do not have ___ apple.</p><br/><p><u>You Write</u><br/>I do not have <strong>an</strong> apple.</p><br/><br/><p><u>You See</u><br/>She does not have ___ pencil.</p><br/><p><u>You Write</u><br/>She does not have <strong>a</strong> pencil.</p>","<h3><strong>A / An</strong></h3><p>Usa <em>an</em> cuando la siguiente palabra comienza con <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em> o <em>u</em>.<br/>Usa <em>a</em> cuando la siguiente palabra comienza con cualquier otra letra.</p><br/><p><u>Ves</u><br/>No tengo ___ manzana.</p><br/><p><u>Escribe</u><br/>No tengo <strong>an</strong> manzana.</p><br/><br/><p><u>Ves</u><br/>Ella no tiene ___ lápiz.</p><br/><p><u>Escribe</u><br/>Ella no tiene <strong>a</strong> lápiz.</p>"
"<h3><strong>A / An</strong></h3><p>Use <em>an</em> when the next word starts with <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em>, or <em>u</em>. </p><p>Use <em>a</em> when the next word starts with any other letter. </p><p><br/><u>You See</u></p><p>I am ___ adult.</p><p><br/><u>You Write</u></p><p>I am <strong>an</strong> adult.</p><br/><br/><p><u>You See</u></p><p>I am ___ student.</p><p><br/><u>You Write</u></p><p>I am <strong>a</strong> student.</p>","<h3><strong>A / An</strong></h3><p>Usa <em>an</em> cuando la siguiente palabra comience con <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em>, o <em>u</em>. </p><p>Usa <em>a</em> cuando la siguiente palabra comience con cualquier otra letra. </p><p><br/><u>Ves</u></p><p>Soy ___ adulto.</p><p><br/><u>Escribes</u></p><p>Soy <strong>an</strong> adulto.</p><br/><br/><p><u>Ves</u></p><p>Soy ___ estudiante.</p><p><br/><u>Escribes</u></p><p>Soy <strong>a</strong> estudiante.</p>"
"<h3><strong>Using <em>a, an</em>, and <em>the</em></strong></h3><p>Use <em>a</em> or <em>an</em> before general things or things that have not been seen or talked about before. </p><br/><p>Use <em>the</em> before specific things or things that have already been mentioned. </p><br/><p><strong><u>You See</u></strong></p><p>I visited ___ Grand Canyon this summer. </p><br/><p><strong><u>You Write</u></strong></p><p>I visited <strong>the </strong>Grand Canyon this summer.</p>","<h3><strong>Uso de <em>a, an</em> y <em>the</em></strong></h3><p>Usa <em>a</em> o <em>an</em> antes de cosas generales o cosas que no han sido vistas o mencionadas antes.</p><br/><p>Usa <em>the</em> antes de cosas específicas o cosas que ya han sido mencionadas.</p><br/><p><strong><u>Ves</u></strong></p><p>Visité ___ Grand Canyon este verano.</p><br/><p><strong><u>Escribes</u></strong></p><p>Visité <strong>the</strong> Grand Canyon este verano.</p>"
"<h3><strong>A / An</strong></h3><p>Use <em>an</em> when the next word starts with <em>a</em>, <em>e</em>, <em>i,</em> <em>o</em>, or <em>u</em>.<br/>Use <em>a</em> when the next word starts with any other letter.</p><br/><p><u>You See</u><br/>I do not want ___ apple.</p><br/><p><u>You Write</u><br/>I do not want <strong>an</strong> apple.</p><br/><br/><p><u>You See</u><br/>She does not want ___ pencil.</p><br/><p><u>You Write</u><br/>She does not want <strong>a</strong> pencil.</p>","<h3><strong>A / An</strong></h3><p>Usa <em>an</em> cuando la siguiente palabra comience con <em>a</em>, <em>e</em>, <em>i,</em> <em>o</em>, o <em>u</em>.<br/>Usa <em>a</em> cuando la siguiente palabra comience con cualquier otra letra.</p><br/><p><u>Usted Ve</u><br/>No quiero ___ manzana.</p><br/><p><u>Usted Escribe</u><br/>No quiero <strong>an</or> manzana.</p><br/><br/><p><u>Usted Ve</u><br/>Ella no quiere ___ lápiz.</p><br/><p><u>Usted Escribe</u><br/>Ella no quiere <strong>a</strong> lápiz.</p>"
"<h3><strong>A / An</strong></h3><p>Use <em>an</em> when the next word starts with <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em>, or <em>u</em>.</p><br/><p><u>You See</u></p><p>I am <strong>a / an</strong> adult.</p><br/><p><u>You Write</u></p><p>I am <strong>an</strong> adult.<br/></p><p>Use <em>a</em> when the next word starts with any other letter. </p><p><br/><u>You See</u></p><p>I am <strong>a / an</strong> student.</p><br/><p><u>You Write</u></p><p>I am <strong>a</strong> student.</p>","<h3><strong>A / An</strong></h3><p>Usa <em>an</em> cuando la siguiente palabra comience con <em>a</em>, <em>e</em>, <em>i</em>, <em>o</em> o <em>u</em>.</p><br/><p><u>Ves</u></p><p>Soy <strong>a / an</strong> adulto.</p><br/><p><u>Escribes</u></p><p>Soy <strong>an</strong> adulto.<br/></p><p>Usa <em>a</em> cuando la siguiente palabra comience con cualquier otra letra.</p><p><br/><u>Ves</u></p><p>Soy <strong>a / an</strong> estudiante.</p><br/><p><u>Escribes</u></p><p>Soy <strong>a</strong> estudiante.</p>"
"<h3><strong>Using <em>a, an</em>, and <em>the</em></strong></h3><p>Use <em>an</em> when a thing starts with a, e, i, o, or u.</p><p>Use <em>a</em> when a thing starts with any other letter.</p><p>Do not put <em>a</em>, <em>an</em>, or <em>the</em> before a single describing word.</p><br/><p><u>Examples</u></p><p>It is <strong>an apple</strong>.</p><p>You are <strong>a good friend</strong>.</p><p>He is <strong>happy</strong>.</p>","<h3><strong>Uso de <em>a, an</em> y <em>the</em></strong></h3><p>Utiliza <em>an</em> cuando una cosa comienza con a, e, i, o, u.</p><p>Utiliza <em>a</em> cuando una cosa comienza con cualquier otra letra.</p><p>No coloques <em>a</em>, <em>an</em> o <em>the</em> antes de un solo adjetivo.</p><br/><p><u>Ejemplos</u></p><p>Es <strong>an apple</strong>.</p><p>Eres <strong>a good friend</strong>.</p><p>Él es <strong>happy</strong>.</p>"
"<h3><strong>A, An with Describing Words</strong></h3><p>Do not put <em>a</em>, <em>an</em>, or <em>the</em> before a single describing word.</p><br/><p><u>You See</u></p><p>He is <strong>happy / a happy</strong>.</p><br/><p><u>You Write</u></p><p>He is <strong>happy</strong>.</p>","<h3><strong>A, An con palabras descriptivas</strong></h3><p>No coloques <em>a</em>, <em>an</em> o <em>the</em> antes de una palabra descriptiva singular.</p><br/><p><u>Ves</u></p><p>Él es <strong>happy / a happy</strong>.</p><br/><p><u>Escribes</u></p><p>Él es <strong>happy</strong>.</p>"
