english,spanish
"<p>When you have a plural word that ends in <em>s</em> (like <em>players</em>), show ownership by putting an apostrophe after the <em>s</em>.<br/> </p>","<p>Cuando tengas una palabra en plural que termina en <em>s</em> (como <em>players</em>), muestra la posesión colocando un apóstrofo después de la <em>s</em>.<br/> </p>"
"<p>When there is more than one <em>person</em>, use <em>people.</em></p>","<p>Cuando hay más de una <em>person</em>, usa <em>people.</em></p>"
"<p>When there is more than one <em>woman</em>, use <em>women.</em></p>","<p>Cuando hay más de una <em>woman</em>, usa <em>women.</em></p>"
"<p>Names for groups of things (<em>team</em>,<em> family</em>,<em> herd</em>,<em> choir</em>,<em> flock</em>) take a singular pronoun (<em>it</em>).</p><p>When members of a group are doing things as individuals, the pronoun is plural (<em>they</em>).</p>","<p>Nombres para grupos de cosas (<em>team</em>, <em>family</em>, <em>herd</em>, <em>choir</em>, <em>flock</em>) llevan un pronombre singular (<em>it</em>).</p><p>Cuando los miembros de un grupo actúan como individuos, el pronombre es plural (<em>they</em>).</p>"
"<p>When the same action happens to three or more different things, combine them into a list.</p>","<p>Cuando la misma acción sucede a tres o más cosas diferentes, combínalas en una lista.</p>"
<p>Use <em>a</em> or <em>an</em> before general things or things that have not been seen or talked about before. </p><br/><p>Use <em>the</em> before specific things or things that have already been mentioned.</p>,<p>Usa <em>a</em> o <em>an</em> antes de cosas generales o cosas que no se han visto ni mencionado antes.</p><br/><p>Usa <em>the</em> antes de cosas específicas o cosas que ya se han mencionado.</p>
"<p>When there is more than one <em>child</em>, use <em>children.</em></p>","<p>Cuando hay más de un <em>child</em>, usa <em>children.</em></p>"
"<p>Words like <em>both</em>, <em>few</em>, <em>certain</em>, <em>many</em>, or <em>several </em>are plural. They show there is more than one of something. </p><br/><p>When you see these words, make sure any pronouns (like <em>we </em>or<em> they)</em> that refer to them are also plural.</p>","<p>Palabras como <em>both</em>, <em>few</em>, <em>certain</em>, <em>many</em> o <em>several</em> son plurales. Indican que hay más de uno de algo.</p><br/><p>Cuando veas estas palabras, asegúrate de que cualquier pronombre (como <em>we</em> o <em>they</em>) que se refiera a ellas también sea plural.</p>"
<p>A word that describes a thing or person can be changed to describe an action instead. Add <em>-ly</em> to the word. Then put it before the action.</p>,<p>Una palabra que describe una cosa o persona puede cambiarse para describir una acción en su lugar. Agrega <em>-ly</em> a la palabra. Luego colócala antes de la acción.</p>
<p>Add describing words right before the things or people they describe. </p><br/><p>Add words that describe actions before or after the action word.</p>,<p>Agrega palabras descriptivas justo antes de las cosas o personas que describen.</p><br/><p>Agrega palabras que describen acciones antes o después del verbo.</p>
"<p>When you start a sentence with a thing or person, always put <em>the</em> before the thing or person.</p>","<p>Cuando comiences una oración con una cosa o persona, siempre coloca <em>the</em> antes de la cosa o persona.</p>"
"<p>A complete sentence must have a person, animal, or thing doing an action.</p>","<p>Una oración completa debe tener una persona, animal o cosa realizando una acción.</p>"
"<p>If a sentence begins with a joining word (like <em>when</em>) and leaves you wondering more, add two words: a person, animal, or thing and an action word.&nbsp;</p>","<p>Si una oración comienza con una palabra de unión (como <em>when</em>) y te deja con más preguntas, agrega dos palabras: una persona, animal o cosa y una palabra de acción.&nbsp;</p>"
<p>Use <em>a</em> or <em>an</em> before things and types of people.</p><br/><p>Do not use <em>a</em> or <em>an</em> before describing words.</p>,<p>Usa <em>a</em> o <em>an</em> antes de cosas y tipos de personas.</p><br/><p>No uses <em>a</em> o <em>an</em> antes de palabras que describen.</p>
<p>To Sit</p>,<p>To Sit</p>
"<p>Use <em>an</em> when the word starts with a vowel (<em>a</em>, <em>e</em>,<em> i</em>, <em>o</em>, <em>u</em>).</p><br/><p>Use <em>a</em> when the word starts with any other letter.</p>","<p>Usa <em>an</em> cuando la palabra comience con una vocal (<em>a</em>, <em>e</em>,<em> i</em>, <em>o</em>, <em>u</em>).</p><br/><p>Usa <em>a</em> cuando la palabra comience con cualquier otra letra.</p>"
<p>To Eat</p>,<p>To Eat</p>
<br/>,<br/>
<p><strong>Which</strong> gives extra information that could be taken out without changing the main idea.</p><br/><p><strong>That</strong> gives essential information that has to be in the sentence for the main idea to be clear or complete.</p><br/><p><strong>Who</strong> gives information about people. It can be extra or essential.</p>,<p><strong>Which</strong> aporta información adicional que podría eliminarse sin alterar la idea principal.</p><br/><p><strong>That</strong> proporciona información esencial que debe estar en la frase para que la idea principal sea clara o completa.</p><br/><p><strong>Who</strong> aporta información sobre personas. Puede ser adicional o esencial.</p>
"<p>To wish for something, wonder if something could happen, or suggest something, use <em>were</em>.</p><br/><p>To show that something happened in the past, use <em>was</em>.</p>","<p>Para desear algo, preguntarse si algo podría suceder o sugerir algo, usa <em>were</em>.</p><br/><p>Para mostrar que algo sucedió en el pasado, usa <em>was</em>.</p>"
"<p><em>On</em> is used when there is a surface under an object or person. <em>On</em> is also used with phones, computers, and to talk about the left or right side of things.</p>","<p><em>On</em> se utiliza cuando hay una superficie bajo un objeto o persona. <em>On</em> también se usa con teléfonos, computadoras y para hablar del lado izquierdo o derecho de las cosas.</p>"
"<p>When one person or thing does more than one action, combine the actions into a list.</p>","<p>Cuando una persona o cosa realiza más de una acción, combina las acciones en una lista.</p>"
<p><em>Your</em> is used to show ownership. Use <em>your</em> when something belongs to somebody.</p>,<p><em>Your</em> se utiliza para mostrar propiedad. Usa <em>your</em> cuando algo pertenece a alguien.</p>
<p>Put extra detail about who someone is or what something is at the end of the sentence. Make sure it comes right after the person or thing it describes.</p><br/><p>Put a comma before the extra information.</p>,<p>Coloca detalles adicionales sobre quién es alguien o qué es algo al final de la frase. Asegúrate de que vaya justo después de la persona o cosa que describe.</p><br/><p>Pon una coma antes de la información adicional.</ p>
<p>Describe how an action is done by adding an <em>-ly</em> word before the action or at the end of the sentence. </p>,<p>Describe cómo se realiza una acción añadiendo una palabra con <em>-ly</em> antes de la acción o al final de la frase.</p>
<p>Words or phrases in a list should all be in the same form. Avoid mixing words that end in <em>-ing </em>with words that don&#x27;t. Make them match!</p>,<p>Las palabras o frases en una lista deben estar todas en la misma forma. Evita mezclar palabras que terminan en <em>-ing</em> con palabras que no terminan así. ¡Haz que coincidan!</p>
<p>To Help</p>,<p>Para ayudar</p>
"<p>In a sentence, there&#x27;s a person or thing and an action word right after it.</p><br/><p>When a sentence is in active voice, the person or thing is the one doing the action that follows it.</p><br/><p>When a sentence is in passive voice, the person or thing right before the action word isn&#x27;t the one doing the action—the action is happening to the person or thing.</p>","<p>En una oración, hay una persona o cosa y un verbo justo después de ello.</p><br/><p>Cuando una oración está en voz activa, la persona o cosa es la que realiza la acción que le sigue.</p><br/><p>Cuando una oración está en voz pasiva, la persona o cosa justo antes del verbo no es quien realiza la acción; la acción le ocurre a la persona o cosa.</p>"
<p>To Eat</p>,<p>To Eat</p>
"<p>Use to + an action word (<em>to go</em>, <em>to eat</em>, <em>to love</em>) before a group of words to tell more about something. </p><br/><p>In this example, <em>to go on a trip</em> tells more about why I saved up money. </p>","<p>Usa to + un verbo (<em>to go</em>, <em>to eat</em>, <em>to love</em>) antes de un grupo de palabras para proporcionar más detalles sobre algo.</p><br/><p>En este ejemplo, <em>to go on a trip</em> explica más sobre por qué ahorré dinero.</p>"
"<p>When two people, animals, or things are doing the same action, use an action word that matches <em>they</em>.</p>","<p>Cuando dos personas, animales o cosas están realizando la misma acción, usa una palabra de acción que coincida con <em>they</em>.</p>"
"<p>Adjectives give different types of information. They go in a certain order.</p>
<p><br></p>
<p>Opinion | Size | Age | Color | Country | Material</p>","<p>Los adjetivos proporcionan diferentes tipos de información. Siguen un orden específico.</p>
<p><br></p>
<p>Opinión | Tamaño | Edad | Color | País | Material</p>"
"<p>When there is more than one <em>man</em>, use <em>men.</em></p>","<p>Cuando hay más de un <em>man</em>, usa <em>men</em>.</p>"
"<p>Put a describing phrase in the middle, right after the word it describes. Put a comma before and after the phrase.</p>","<p>Coloca una frase descriptiva en el medio, justo después de la palabra que describe. Pon una coma antes y después de la frase.</p>"
"<p>Sometimes adjectives go before the noun and give different types of information.&nbsp;</p>
<p>They do not need a comma between them. They do not need ""and.""</p>","<p>A veces los adjetivos van antes del sustantivo y brindan diferentes tipos de información.&nbsp;</p>
<p>No necesitan una coma entre ellos. No necesitan ""y"".</p>"
<p>Everything that happens in the <em>present</em> must be written in the <em>present</em> tense.</p><p>Everything that happens in the <em>past</em> must be written in the <em>past</em> tense.</p><p>Everything that happens in the <em>future</em> must be written in the <em>future</em> tense.</p>,<p>Todo lo que sucede en el <em>present</em> debe escribirse en tiempo <em>present</em>.</p><p>Todo lo que sucede en el <em>past</em> debe escribirse en tiempo <em>past</em>.</p><p>Todo lo que sucede en el <em>future</em> debe escribirse en tiempo <em>future</em>.</p>
"<p>Use <em>the</em> before oceans, mountain ranges, sports teams, and monuments.</p><br/><p>Do not use <em>the</em> before cities, states, countries, or the name of a single mountain or lake.</p>","<p>Usa <em>the</em> antes de los océanos, cordilleras, equipos deportivos y monumentos.</p><br/><p>No uses <em>the</em> antes de ciudades, estados, países, o el nombre de una sola montaña o lago.</p>"
