english,spanish
"<p>When you have a plural word that ends in <em>s</em> (like <em>players</em>), show ownership by putting an apostrophe after the <em>s</em>.<br/> </p>","<p>Cuando tienes una palabra plural que termina en <em>s</em> (como <em>players</em>), muestra propiedad colocando un apóstrofo después de la <em>s</em>.<br/> </p>"
"<p>When there is more than one <em>person</em>, use <em>people.</em></p>","<p>Quando há mais de uma <em>person</em>, use <em>people.</em></p>"
"<p>When there is more than one <em>woman</em>, use <em>women.</em></p>","<p>When there is more than one <em>woman</em>, use <em>women.</em></p>"
"<p>Names for groups of things (<em>team</em>,<em> family</em>,<em> herd</em>,<em> choir</em>,<em> flock</em>) take a singular pronoun (<em>it</em>).</p><p>When members of a group are doing things as individuals, the pronoun is plural (<em>they</em>).</p>","<p>Nombres para grupos de cosas (<em>team</em>,<em> family</em>,<em> herd</em>,<em> choir</em>,<em> flock</em>) llevan un pronombre singular (<em>it</em>).</p><p>Cuando los miembros de un grupo actúan como individuos, el pronombre es plural (<em>they</em>).</p>"
"<p>When the same action happens to three or more different things, combine them into a list.</p>","<p>Cuando la misma acción sucede a tres o más cosas diferentes, combínalas en una lista.</p>"
<p>Use <em>a</em> or <em>an</em> before general things or things that have not been seen or talked about before. </p><br/><p>Use <em>the</em> before specific things or things that have already been mentioned.</p>,<p>Utiliza <em>a</em> o <em>an</em> antes de cosas generales o cosas que no se han visto ni mencionado antes.</p><br/><p>Utiliza <em>the</em> antes de cosas específicas o cosas que ya se han mencionado.</p>
"<p>When there is more than one <em>child</em>, use <em>children.</em></p>","<p>Cuando hay más de un <em>child</em>, usa <em>children.</em></p>"
"<p>Words like <em>both</em>, <em>few</em>, <em>certain</em>, <em>many</em>, or <em>several </em>are plural. They show there is more than one of something. </p><br/><p>When you see these words, make sure any pronouns (like <em>we </em>or<em> they)</em> that refer to them are also plural.</p>","<p>Palabras como <em>both</em>, <em>few</em>, <em>certain</em>, <em>many</em>, o <em>several</em> son plurales. Indican que hay más de uno de algo.</p><br/><p>Cuando veas estas palabras, asegúrate de que los pronombres (como <em>we</em> o <em>they</em>) que se refieren a ellas también sean plurales.</p>"
<p>A word that describes a thing or person can be changed to describe an action instead. Add <em>-ly</em> to the word. Then put it before the action.</p>,<p>Una palabra que describe una cosa o persona puede ser cambiada para describir una acción en su lugar. Agrega <em>-ly</em> a la palabra. Luego colócala antes de la acción.</p>
<p>Add describing words right before the things or people they describe. </p><br/><p>Add words that describe actions before or after the action word.</p>,<p>Agregue palabras descriptivas justo antes de las cosas o personas que describen.</p><br/><p>Agregue palabras que describan acciones antes o después del verbo.</n>
"<p>When you start a sentence with a thing or person, always put <em>the</em> before the thing or person.</p>","<p>Cuando comiences una oración con una cosa o persona, siempre coloca <em>the</em> antes de la cosa o persona.</p>"
"<p>A complete sentence must have a person, animal, or thing doing an action.</p>","<p>Una frase completa debe tener una persona, animal o cosa realizando una acción.</p>"
"<p>If a sentence begins with a joining word (like <em>when</em>) and leaves you wondering more, add two words: a person, animal, or thing and an action word.&nbsp;</p>","<p>Si una oración comienza con una palabra de unión (como <em>when</em>) y te deja con más dudas, agrega dos palabras: una persona, animal o cosa y una palabra de acción.&nbsp;</p>"
<p>Use <em>a</em> or <em>an</em> before things and types of people.</p><br/><p>Do not use <em>a</em> or <em>an</em> before describing words.</p>,<p>Utiliza <em>a</em> o <em>an</em> antes de cosas y tipos de personas.</p><br/><p>No uses <em>a</em> o <em>an</em> antes de palabras que describan.</p>
<p>To Sit</p>,<p>To Sit</p>
"<p>Use <em>an</em> when the word starts with a vowel (<em>a</em>, <em>e</em>,<em> i</em>, <em>o</em>, <em>u</em>).</p><br/><p>Use <em>a</em> when the word starts with any other letter.</p>","<p>Use <em>an</em> cuando la palabra comienza con una vocal (<em>a</em>, <em>e</em>,<em>i</em>, <em>o</em>, <em>u</em>).</p><br/><p>Use <em>a</em> cuando la palabra comienza con cualquier otra letra.</p>"
<p>To Eat</p>,<p>Comer</p>
<br/>,<br/>
<p><strong>Which</strong> gives extra information that could be taken out without changing the main idea.</p><br/><p><strong>That</strong> gives essential information that has to be in the sentence for the main idea to be clear or complete.</p><br/><p><strong>Who</strong> gives information about people. It can be extra or essential.</p>,<p><strong>Which</strong> proporciona información adicional que podría eliminarse sin cambiar la idea principal.</p><br/><p><strong>That</strong> proporciona información esencial que debe estar en la frase para que la idea principal sea clara o completa.</p><br/><p><strong>Who</strong> proporciona información sobre personas. Puede ser adicional o esencial.</p>
"<p>To wish for something, wonder if something could happen, or suggest something, use <em>were</em>.</p><br/><p>To show that something happened in the past, use <em>was</em>.</p>","<p>Para desejar algo, perguntar-se se algo poderia acontecer, ou sugerir algo, use <em>were</em>.</p><br/><p>Para mostrar que algo aconteceu no passado, use <em>was</em>.</p>"
"<p><em>On</em> is used when there is a surface under an object or person. <em>On</em> is also used with phones, computers, and to talk about the left or right side of things.</p>","<p><em>On</em> se utiliza cuando hay una superficie debajo de un objeto o persona. <em>On</em> también se utiliza con teléfonos, computadoras y para hablar sobre el lado izquierdo o derecho de las cosas.</p>"
"<p>When one person or thing does more than one action, combine the actions into a list.</p>",<p>当一个人或事物做出多个行动时，将这些行动组合成一个列表。</p>
<p><em>Your</em> is used to show ownership. Use <em>your</em> when something belongs to somebody.</p>,<p><em>Your</em> se usa para mostrar propiedad. Usa <em>your</em> cuando algo pertenece a alguien.</p>
<p>Put extra detail about who someone is or what something is at the end of the sentence. Make sure it comes right after the person or thing it describes.</p><br/><p>Put a comma before the extra information.</p>,<p>Pon detalles adicionales sobre quién es alguien o qué es algo al final de la frase. Asegúrate de que vayan justo después de la persona o cosa que describen.</p><br/><p>Pon una coma antes de la información adicional.</p>
